strike,1955,1950s,6-hour strike talks fail
strike,1955,1950s,Power men threaten to strike
strike,1955,1950s,"Waiters,  bar boys  in hotel  strike"
strike,1955,1950s,Guests move  out: Hotel  strike in  second day
strike,1955,1950s,Strike  hotel decides to close
strike,1955,1950s,Dockers may still strike
strike,1955,1950s,"No advance, so they'll strike"
strike,1955,1950s,Strike  ENDS IN K.I.  Strike
strike,1955,1950s,6 MINUTES TO  GO: STRIKE IS CALLED OFF
strike,1955,1950s,OUR CANBERRAS CAN STRIKE AT THE ENEMY WITHIN AN HOUR
strike,1955,1950s,Judges to strike
strike,1955,1950s,HOTEL STRIKE IS SETTLED -SACKED MEN RETURN
strike,1955,1950s,Strike threat
strike,1955,1950s,"60,000 strike"
strike,1955,1950s,Strike notice to council today
strike,1955,1950s,150 busmen strike as wage talks fail
strike,1955,1950s,Dock strike  menace
strike,1955,1950s,82 held  in  strike
strike,1955,1950s,Strike  notice  to Navy  today
strike,1955,1950s,WATER MEN  PUT OFF  STRIKE
strike,1955,1950s,Sympathy strike
strike,1955,1950s,Harbour  men  threaten strike
strike,1955,1950s,Lim moves to avert strike
strike,1955,1950s,"One-day  strike by  1,300  at docks"
strike,1955,1950s,ALKS: SO STRIKE is OFF
strike,1955,1950s,Petrol strike is now settled
strike,1955,1950s,City men  to strike   but  not now
strike,1955,1950s,COLONY BUS WORKERS SAY  YES TO STRIKE
strike,1955,1950s,STRIKE THREAT  AT  STABLES
strike,1955,1950s,RACES ON  DESPITE  STRIKE
strike,1955,1950s,Hess on strike
strike,1955,1950s,The bus  strike may end  today
strike,1955,1950s,Liner foils tug strike
strike,1955,1950s,RUBBER SHOE MAKERS GO ON STRIKE
strike,1955,1950s,"40,000 ordered  to strike at midnight meeting"
strike,1955,1950s,HOCK LEE STRIKE ENDED: MOST BUSES BACK TODAY
strike,1955,1950s,TUC peace  bid in  port strike
strike,1955,1950s,"10,000  in new strike threat"
strike,1955,1950s,"10,000  vote  to strike"
strike,1955,1950s,HARBOUR STRIKE MAY END TODAY
strike,1955,1950s,HB STRIKE: NICOLLACTS
strike,1955,1950s,STRIKE GOES ON: TROOPS MAY STEP IN
strike,1955,1950s,"Dock  strike  threat  by 20,000"
strike,1955,1950s,"2,500 oppose port strike call"
strike,1955,1950s,"1,250 in  new  Colony strike"
strike,1955,1950s,"40,000 threaten new strike"
strike,1955,1950s,Opium addicts end hunger strike
strike,1955,1950s,MARSHALL to LIM: NAME SYMPATHY STRIKE UNIONS
strike,1955,1950s,"SYMPATHY' STRIKE BY 60,000 CALLED OFF"
strike,1955,1950s,"16,000 ON STRIKE"
strike,1955,1950s,70 companies hit by the strike   official list
strike,1955,1950s,Negotiations  on SHB  strike end in deadlock
strike,1955,1950s,Strike clash
strike,1955,1950s,"Strike threat  by  10,000"
strike,1955,1950s,Strike leaders arrested
strike,1955,1950s,MINISTER'S BID TO AVERT BIG STRIKE
strike,1955,1950s,COUNCIL MEN DEFER STRIKE THREAT
strike,1955,1950s,66-day harbour  strike is over
strike,1955,1950s,STRIKE IS OVERHAND THE MEN CHEER THE NEWS
strike,1955,1950s,Races:  New strike threat
strike,1955,1950s,Strike off on with races
strike,1955,1950s,Sawmill strike is over
strike,1955,1950s,Strike pay rejected   unions walk out
strike,1955,1950s,CITY COUNCIL  MEN: 'ON WITH STRIKE'
strike,1955,1950s,New strike  starts in  Singapore
strike,1955,1950s,"Ban lifted,  then Reds  strike again"
strike,1955,1950s,The £90 m. strike
strike,1955,1950s,Prison and customs men  may strike over sackings
strike,1955,1950s,NEW STRIKE WAVE PERIL
strike,1955,1950s,Strike threat
strike,1955,1950s,400 sawmill men strike
strike,1955,1950s,10000 TO  STRIKE  THIS WEEK
strike,1955,1950s,BIG STRIKE PUT OFF FOR 14 DAYS
strike,1955,1950s,Oil strike in Brunei
strike,1955,1950s,STRIKE NOTICE AT NAVAL BASE
strike,1955,1950s,RAIL STRIKE THREAT
strike,1955,1950s,Admiralty  gets strike  notice
strike,1955,1950s,NEW STRIKE THREAT by RACING BOYS
strike,1955,1950s,"38 SACKED, SO RUBBER MEN WILL STRIKE"
strike,1955,1950s,New peace bid in racing strike
strike,1955,1950s,Ail VAL BASE STRIKE IS OFF
strike,1955,1950s,"1,400 go on strike, refuse to sit their exams"
strike,1955,1950s,STABLE STRIKE IS OFF
strike,1955,1950s,Union builds up a 'strike fund'
strike,1955,1950s,CITY COUNCIL  WORKERS  TO STRIKE
strike,1955,1950s,Bid to avert city strike
strike,1955,1950s,MORE MEN ON STRIKE NOW
strike,1955,1950s,Hooded men clean the streets  THEY HELP BEAT STRIKE
strike,1955,1950s,STOP-the-STRIKE MOVE BY REA
strike,1955,1950s,Singapore hotels face a strike
strike,1955,1950s,Strike: Talks to resume
strike,1955,1950s,450 ON STRIKE  AT FOUR  HOTELS
strike,1955,1950s,The Cold Storage:  Strike goes on
strike,1955,1950s,"Firemen may strike, too"
strike,1955,1950s,Council  strike:  Still an  impasse
strike,1955,1950s,Strike settled
strike,1955,1950s,BID No. 3 TO END CITY STRIKE FAILS
strike,1955,1950s,CITY COUNCIL STRIKE ENDS
strike,1955,1950s,Strike ballot
strike,1955,1950s,Strike at Raffles Hotel ends
strike,1955,1950s,Bus strike in a fortnight
strike,1955,1950s,A general hotel strike is threatened
strike,1955,1950s,Cockpit strike is over
strike,1955,1950s,Bata men to strike
strike,1955,1950s,STRIKE TOMORROW?  Visit to cemetery may lead to unofficial S.T.C. stoppage
strike,1955,1950s,JOHORE REDS STRIKE AGAIN
strike,1955,1950s,BIG BUS STRIKE BEGINS
strike,1955,1950s,Port clerks to take strike ballot
strike,1955,1950s,MIDDLE ROAD  ORDERS  10-min STRIKE
strike,1955,1950s,SMELTER STRIKE IS CALLED OFF
strike,1955,1950s,STC strike Sir Thomas flies out
strike,1955,1950s,Hotel strike inquiry
strike,1955,1950s,"Strike call goes out to  the 80,000"
strike,1955,1950s,END-STRIKE TALKS FAIL
strike,1955,1950s,Dockers to strike
strike,1955,1950s,Bank  men to  vote on  strike
strike,1955,1950s,I'll go on hunger  strike -clerk
strike,1955,1950s,Bus strike 'no good to  anybody'
strike,1955,1950s,Laundrymen to go on strike
strike,1955,1950s,Strike  threat  at Naval  Base
strike,1955,1950s,Changi  bus  strike is over
strike,1955,1950s,ADELPHI  STRIKE  (64 DAYS)  IS OVER
strike,1955,1950s,NOW ONLY HALF A STRIKE
strike,1955,1950s,Oil men end strike
strike,1955,1950s,ITS ALL STRIKE  TALK BY THE  PHONE MEN
strike,1955,1950s,ON STRIKE UNLESS...
strike,1955,1950s,Strike is off
strike,1955,1950s,Phone  men to  strike  again
strike,1955,1950s,Deepavali transport strike imminent
strike,1955,1950s,BUS STRIKE:  FONG HIDES  HIS HAND
strike,1955,1950s,Taxi union  pleads:  Don't strike
strike,1955,1950s,Zulu ricksha men strike
strike,1955,1950s,Peace hope in  strike
strike,1955,1950s,END-the-STRIKE DRAMA
