"index","year","word","page","frequency","articleCount","stfreq","pagegroup"
"1845:2",1845,"bark",2,24,120,20,1
"1845:2",1845,"Singapore",2,23,120,19.1666666666667,1
"1845:2",1845,"received",2,19,120,15.8333333333333,1
"1845:2",1845,"Steamer",2,18,120,15,1
"1845:2",1845,"Dutch",2,17,120,14.1666666666667,1
"1845:2",1845,"China",2,17,120,14.1666666666667,1
"1845:2",1845,"Manila",2,16,120,13.3333333333333,1
"1845:2",1845,"ship",2,14,120,11.6666666666667,1
"1845:2",1845,"arrival",2,12,120,10,1
"1845:2",1845,"arrived",2,12,120,10,1
"1845:2",1845,"Calcutta",2,11,120,9.16666666666667,1
"1845:2",1845,"Bombay",2,11,120,9.16666666666667,1
"1845:2",1845,"British",2,11,120,9.16666666666667,1
"1845:2",1845,"Malacca",2,10,120,8.33333333333333,1
"1845:3",1845,"China",3,17,107,15.8878504672897,2
"1845:3",1845,"British",3,16,107,14.9532710280374,2
"1845:3",1845,"Intelligence",3,14,107,13.0841121495327,2
"1845:3",1845,"received",3,13,107,12.1495327102804,2
"1845:3",1845,"brig",3,13,107,12.1495327102804,2
"1845:3",1845,"European",3,11,107,10.2803738317757,2
"1845:3",1845,"bark",3,11,107,10.2803738317757,2
"1845:3",1845,"Brit",3,11,107,10.2803738317757,2
"1845:3",1845,"Ist",3,10,107,9.34579439252336,2
"1845:3",1845,"schooner",3,10,107,9.34579439252336,2
"1845:3",1845,"Sir",3,9,107,8.41121495327103,2
"1845:3",1845,"ship",3,8,107,7.47663551401869,2
"1845:3",1845,"Dutch",3,8,107,7.47663551401869,2
"1845:3",1845,"Rhio",3,8,107,7.47663551401869,2
"1845:3",1845,"Manila",3,8,107,7.47663551401869,2
"1845:3",1845,"Singapore",3,8,107,7.47663551401869,2
"1845:3",1845,"time",3,7,107,6.54205607476635,2
"1845:3",1845,"Court",3,7,107,6.54205607476635,2
"1845:3",1845,"understand",3,7,107,6.54205607476635,2
"1845:3",1845,"Hongkong",3,7,107,6.54205607476635,2
"1845:3",1845,"General",3,7,107,6.54205607476635,2
"1845:3",1845,"much",3,6,107,5.60747663551402,2
"1845:3",1845,"left",3,6,107,5.60747663551402,2
"1845:3",1845,"Calcutta",3,6,107,5.60747663551402,2
"1845:3",1845,"sent",3,6,107,5.60747663551402,2
"1846:2",1846,"Singapore",2,138,331,41.6918429003021,1
"1846:2",1846,"Steamer",2,70,331,21.1480362537764,1
"1846:2",1846,"China",2,56,331,16.9184290030211,1
"1846:2",1846,"arrived",2,53,331,16.012084592145,1
"1846:2",1846,"Calcutta",2,46,331,13.8972809667674,1
"1846:2",1846,"bark",2,38,331,11.4803625377643,1
"1846:2",1846,"Captain",2,37,331,11.178247734139,1
"1846:2",1846,"received",2,36,331,10.8761329305136,1
"1846:2",1846,"brig",2,35,331,10.5740181268882,1
"1846:2",1846,"ship",2,34,331,10.2719033232628,1
"1846:3",1846,"China",3,61,348,17.5287356321839,2
"1846:3",1846,"European",3,53,348,15.2298850574713,2
"1846:3",1846,"British",3,49,348,14.0804597701149,2
"1846:3",1846,"bark",3,42,348,12.0689655172414,2
"1846:3",1846,"Intelligence",3,37,348,10.632183908046,2
"1846:3",1846,"Singapore",3,34,348,9.77011494252874,2
"1846:3",1846,"Calcutta",3,31,348,8.9080459770115,2
"1846:3",1846,"brig",3,31,348,8.9080459770115,2
"1846:3",1846,"ship",3,28,348,8.04597701149425,2
"1846:3",1846,"time",3,24,348,6.89655172413793,2
"1846:3",1846,"received",3,24,348,6.89655172413793,2
"1846:3",1846,"Dutch",3,24,348,6.89655172413793,2
"1846:3",1846,"arrived",3,23,348,6.60919540229885,2
"1846:4",1846,"bark",4,165,355,46.4788732394366,3
"1846:4",1846,"sight",4,160,355,45.0704225352113,3
"1846:4",1846,"days",4,154,355,43.3802816901408,3
"1846:4",1846,"British",4,150,355,42.2535211267606,3
"1846:4",1846,"brig",4,102,355,28.7323943661972,3
"1846:4",1846,"Singapore",4,98,355,27.6056338028169,3
"1846:4",1846,"cwt",4,91,355,25.6338028169014,3
"1846:4",1846,"Goan",4,87,355,24.5070422535211,3
"1846:4",1846,"China",4,86,355,24.2253521126761,3
"1846:4",1846,"Bombay",4,83,355,23.3802816901408,3
"1848:2",1848,"arrival",2,116,314,36.9426751592357,1
"1848:2",1848,"Singapore",2,114,314,36.3057324840764,1
"1848:2",1848,"announce",2,109,314,34.7133757961783,1
"1848:2",1848,"passengers",2,90,314,28.6624203821656,1
"1848:2",1848,"received",2,54,314,17.1974522292994,1
"1848:2",1848,"China",2,54,314,17.1974522292994,1
"1848:2",1848,"Captain",2,53,314,16.8789808917197,1
"1848:2",1848,"Calcutta",2,37,314,11.7834394904459,1
"1848:2",1848,"Hongkong",2,35,314,11.1464968152866,1
"1848:2",1848,"arrived",2,34,314,10.828025477707,1
"1848:2",1848,"General",2,32,314,10.1910828025478,1
"1848:3",1848,"European",3,52,236,22.0338983050847,2
"1848:3",1848,"Intelligence",3,47,236,19.9152542372881,2
"1848:3",1848,"China",3,28,236,11.864406779661,2
"1848:3",1848,"arrived",3,23,236,9.74576271186441,2
"1848:3",1848,"Singapore",3,20,236,8.47457627118644,2
"1848:3",1848,"Sir",3,19,236,8.05084745762712,2
"1848:3",1848,"place",3,17,236,7.20338983050847,2
"1848:3",1848,"Captain",3,16,236,6.77966101694915,2
"1848:3",1848,"Chinese",3,16,236,6.77966101694915,2
"1848:3",1848,"received",3,15,236,6.35593220338983,2
"1848:3",1848,"left",3,15,236,6.35593220338983,2
"1848:3",1848,"Ditto",3,13,236,5.50847457627119,2
"1848:3",1848,"Government",3,13,236,5.50847457627119,2
"1848:3",1848,"Governor",3,13,236,5.50847457627119,2
"1848:3",1848,"General",3,13,236,5.50847457627119,2
"1848:4",1848,"cent",4,83,272,30.5147058823529,3
"1848:4",1848,"British",4,78,272,28.6764705882353,3
"1848:4",1848,"brig",4,75,272,27.5735294117647,3
"1848:4",1848,"bark",4,74,272,27.2058823529412,3
"1848:4",1848,"Ditto",4,72,272,26.4705882352941,3
"1848:4",1848,"Calcutta",4,70,272,25.7352941176471,3
"1848:4",1848,"cwt",4,64,272,23.5294117647059,3
"1848:4",1848,"dollar",4,58,272,21.3235294117647,3
"1848:4",1848,"sight",4,58,272,21.3235294117647,3
"1848:4",1848,"Brit",4,57,272,20.9558823529412,3
"1848:4",1848,"Bombay",4,56,272,20.5882352941176,3
"1849:3",1849,"arrival",3,23,110,20.9090909090909,1
"1849:3",1849,"announce",3,22,110,20,1
"1849:3",1849,"Singapore",3,20,110,18.1818181818182,1
"1849:3",1849,"passengers",3,17,110,15.4545454545455,1
"1849:3",1849,"Calcutta",3,16,110,14.5454545454545,1
"1849:3",1849,"received",3,14,110,12.7272727272727,1
"1849:3",1849,"Hongkong",3,13,110,11.8181818181818,1
"1849:3",1849,"China",3,11,110,10,1
"1849:3",1849,"Sir",3,9,110,8.18181818181818,1
"1849:3",1849,"accounts",3,8,110,7.27272727272727,1
"1849:4",1849,"Singapore",4,30,124,24.1935483870968,2
"1849:4",1849,"announce",4,28,124,22.5806451612903,2
"1849:4",1849,"arrival",4,27,124,21.7741935483871,2
"1849:4",1849,"passengers",4,19,124,15.3225806451613,2
"1849:4",1849,"received",4,18,124,14.5161290322581,2
"1849:4",1849,"Drs",4,12,124,9.67741935483871,2
"1849:4",1849,"Calcutta",4,11,124,8.87096774193548,2
"1849:4",1849,"upon",4,11,124,8.87096774193548,2
"1849:4",1849,"Bombay",4,9,124,7.25806451612903,2
"1849:4",1849,"Captain",4,9,124,7.25806451612903,2
"1849:4",1849,"left",4,8,124,6.45161290322581,2
"1849:4",1849,"China",4,8,124,6.45161290322581,2
"1849:4",1849,"news",4,7,124,5.64516129032258,2
"1849:4",1849,"board",4,7,124,5.64516129032258,2
"1849:4",1849,"Malacca",4,7,124,5.64516129032258,2
"1849:4",1849,"annex",4,7,124,5.64516129032258,2
"1849:4",1849,"departure",4,7,124,5.64516129032258,2
"1849:4",1849,"instant",4,7,124,5.64516129032258,2
"1849:6",1849,"British",6,20,127,15.748031496063,3
"1849:6",1849,"bark",6,20,127,15.748031496063,3
"1849:6",1849,"Bombay",6,16,127,12.5984251968504,3
"1849:6",1849,"Captain",6,13,127,10.2362204724409,3
"1849:6",1849,"bottled",6,12,127,9.44881889763779,3
"1849:6",1849,"Calcutta",6,12,127,9.44881889763779,3
"1849:6",1849,"cwt",6,12,127,9.44881889763779,3
"1849:6",1849,"South",6,12,127,9.44881889763779,3
"1849:6",1849,"ship",6,11,127,8.66141732283465,3
"1849:6",1849,"Europe",6,9,127,7.08661417322835,3
"1849:6",1849,"present",6,9,127,7.08661417322835,3
"1849:6",1849,"Singapore",6,9,127,7.08661417322835,3
"1849:6",1849,"Sago",6,8,127,6.2992125984252,3
"1849:6",1849,"Macao",6,8,127,6.2992125984252,3
"1849:6",1849,"demand",6,8,127,6.2992125984252,3
"1849:6",1849,"European",6,7,127,5.51181102362205,3
"1849:6",1849,"market",6,7,127,5.51181102362205,3
"1849:6",1849,"Junks",6,7,127,5.51181102362205,3
"1849:6",1849,"China",6,7,127,5.51181102362205,3
"1849:6",1849,"Goan",6,7,127,5.51181102362205,3
"1849:6",1849,"received",6,6,127,4.7244094488189,3
"1849:6",1849,"morning",6,6,127,4.7244094488189,3
"1849:6",1849,"Brit",6,6,127,4.7244094488189,3
"1849:6",1849,"Sir",6,6,127,4.7244094488189,3
"1849:6",1849,"steamer",6,6,127,4.7244094488189,3
"1849:6",1849,"Phillip",6,6,127,4.7244094488189,3
"1849:6",1849,"brig",6,6,127,4.7244094488189,3
"1849:6",1849,"Ist",6,6,127,4.7244094488189,3
"1849:6",1849,"Adelaide",6,6,127,4.7244094488189,3
"1849:6",1849,"Rachman",6,6,127,4.7244094488189,3
"1849:6",1849,"cent",6,6,127,4.7244094488189,3
"1849:6",1849,"Madras",6,5,127,3.93700787401575,3
"1849:6",1849,"spoken",6,5,127,3.93700787401575,3
"1849:6",1849,"Asia",6,5,127,3.93700787401575,3
"1849:6",1849,"wood",6,5,127,3.93700787401575,3
"1849:6",1849,"Bintang",6,5,127,3.93700787401575,3
"1849:6",1849,"Port",6,5,127,3.93700787401575,3
"1849:6",1849,"United",6,5,127,3.93700787401575,3
"1849:6",1849,"Bass",6,5,127,3.93700787401575,3
"1849:6",1849,"meeting",6,5,127,3.93700787401575,3
"1849:6",1849,"arrived",6,5,127,3.93700787401575,3
"1849:6",1849,"continues",6,5,127,3.93700787401575,3
"1849:6",1849,"account",6,5,127,3.93700787401575,3
"1849:6",1849,"Good",6,5,127,3.93700787401575,3
"1849:7",1849,"bark",7,88,276,31.8840579710145,4
"1849:7",1849,"Calcutta",7,77,276,27.8985507246377,4
"1849:7",1849,"British",7,68,276,24.6376811594203,4
"1849:7",1849,"ship",7,66,276,23.9130434782609,4
"1849:7",1849,"Brit",7,66,276,23.9130434782609,4
"1849:7",1849,"cent",7,63,276,22.8260869565217,4
"1849:7",1849,"brig",7,62,276,22.463768115942,4
"1849:7",1849,"Bombay",7,53,276,19.2028985507246,4
"1849:7",1849,"cwt",7,50,276,18.1159420289855,4
"1849:7",1849,"Captain",7,44,276,15.9420289855072,4
"1849:7",1849,"sight",7,37,276,13.4057971014493,4
"1850:3",1850,"Sir",3,17,122,13.9344262295082,1
"1850:3",1850,"Singapore",3,16,122,13.1147540983607,1
"1850:3",1850,"Captain",3,11,122,9.01639344262295,1
"1850:3",1850,"China",3,11,122,9.01639344262295,1
"1850:3",1850,"announce",3,10,122,8.19672131147541,1
"1850:3",1850,"Court",3,10,122,8.19672131147541,1
"1850:3",1850,"received",3,9,122,7.37704918032787,1
"1850:3",1850,"arrival",3,8,122,6.55737704918033,1
"1850:3",1850,"intelligence",3,8,122,6.55737704918033,1
"1850:3",1850,"Borneo",3,8,122,6.55737704918033,1
"1850:3",1850,"Brooke",3,8,122,6.55737704918033,1
"1850:3",1850,"Ihe",3,7,122,5.73770491803279,1
"1850:3",1850,"steamer",3,7,122,5.73770491803279,1
"1850:3",1850,"attention",3,7,122,5.73770491803279,1
"1850:3",1850,"Hongkong",3,7,122,5.73770491803279,1
"1850:3",1850,"upon",3,7,122,5.73770491803279,1
"1850:3",1850,"brought",3,6,122,4.91803278688525,1
"1850:3",1850,"letter",3,6,122,4.91803278688525,1
"1850:3",1850,"James",3,6,122,4.91803278688525,1
"1850:3",1850,"passengers",3,6,122,4.91803278688525,1
"1850:3",1850,"morning",3,6,122,4.91803278688525,1
"1850:3",1850,"London",3,6,122,4.91803278688525,1
"1850:3",1850,"arrived",3,6,122,4.91803278688525,1
"1850:3",1850,"great",3,6,122,4.91803278688525,1
"1850:3",1850,"ship",3,6,122,4.91803278688525,1
"1850:3",1850,"days",3,5,122,4.0983606557377,1
"1850:3",1850,"Calcutta",3,5,122,4.0983606557377,1
"1850:3",1850,"late",3,5,122,4.0983606557377,1
"1850:3",1850,"pirates",3,5,122,4.0983606557377,1
"1850:3",1850,"Governor",3,5,122,4.0983606557377,1
"1850:3",1850,"Ist",3,5,122,4.0983606557377,1
"1850:3",1850,"California",3,5,122,4.0983606557377,1
"1850:3",1850,"Oriental",3,5,122,4.0983606557377,1
"1850:4",1850,"announce",4,48,145,33.1034482758621,2
"1850:4",1850,"passengers",4,41,145,28.2758620689655,2
"1850:4",1850,"arrival",4,39,145,26.8965517241379,2
"1850:4",1850,"Singapore",4,33,145,22.7586206896552,2
"1850:4",1850,"Sir",4,25,145,17.2413793103448,2
"1850:4",1850,"received",4,16,145,11.0344827586207,2
"1850:4",1850,"China",4,15,145,10.3448275862069,2
"1850:4",1850,"Hongkong",4,14,145,9.6551724137931,2
"1850:4",1850,"Captain",4,13,145,8.96551724137931,2
"1850:4",1850,"place",4,11,145,7.58620689655172,2
"1850:4",1850,"departure",4,11,145,7.58620689655172,2
"1850:5",1850,"Singapore",5,18,115,15.6521739130435,3
"1850:5",1850,"received",5,14,115,12.1739130434783,3
"1850:5",1850,"journals",5,11,115,9.56521739130435,3
"1850:5",1850,"Calcutta",5,10,115,8.69565217391304,3
"1850:5",1850,"Bombay",5,9,115,7.82608695652174,3
"1850:5",1850,"arrived",5,9,115,7.82608695652174,3
"1850:5",1850,"days",5,8,115,6.95652173913043,3
"1850:5",1850,"passengers",5,8,115,6.95652173913043,3
"1850:5",1850,"present",5,8,115,6.95652173913043,3
"1850:5",1850,"Captain",5,8,115,6.95652173913043,3
"1850:5",1850,"Hongkong",5,8,115,6.95652173913043,3
"1850:5",1850,"announce",5,7,115,6.08695652173913,3
"1850:5",1850,"Sir",5,7,115,6.08695652173913,3
"1850:5",1850,"arrival",5,7,115,6.08695652173913,3
"1850:5",1850,"public",5,7,115,6.08695652173913,3
"1850:5",1850,"Ihe",5,6,115,5.21739130434783,3
"1850:5",1850,"lie",5,6,115,5.21739130434783,3
"1850:5",1850,"advices",5,5,115,4.34782608695652,3
"1850:5",1850,"Steam",5,5,115,4.34782608695652,3
"1850:5",1850,"brought",5,5,115,4.34782608695652,3
"1850:5",1850,"ship",5,5,115,4.34782608695652,3
"1850:5",1850,"papers",5,5,115,4.34782608695652,3
"1850:5",1850,"Steamer",5,5,115,4.34782608695652,3
"1850:5",1850,"accounts",5,5,115,4.34782608695652,3
"1850:5",1850,"issue",5,5,115,4.34782608695652,3
"1850:5",1850,"Governor",5,5,115,4.34782608695652,3
"1850:5",1850,"French",5,5,115,4.34782608695652,3
"1850:5",1850,"vessel",5,5,115,4.34782608695652,3
"1850:6",1850,"never",6,9,103,8.7378640776699,4
"1850:6",1850,"Calcutta",6,8,103,7.76699029126214,4
"1850:6",1850,"public",6,8,103,7.76699029126214,4
"1850:6",1850,"brought",6,7,103,6.79611650485437,4
"1850:6",1850,"much",6,7,103,6.79611650485437,4
"1850:6",1850,"Sir",6,7,103,6.79611650485437,4
"1850:6",1850,"China",6,6,103,5.8252427184466,4
"1850:6",1850,"case",6,6,103,5.8252427184466,4
"1850:6",1850,"taken",6,6,103,5.8252427184466,4
"1850:6",1850,"Captain",6,6,103,5.8252427184466,4
"1850:6",1850,"present",6,6,103,5.8252427184466,4
"1850:6",1850,"India",6,5,103,4.85436893203883,4
"1850:6",1850,"European",6,5,103,4.85436893203883,4
"1850:6",1850,"without",6,5,103,4.85436893203883,4
"1850:6",1850,"lor",6,5,103,4.85436893203883,4
"1850:6",1850,"done",6,5,103,4.85436893203883,4
"1850:6",1850,"lie",6,5,103,4.85436893203883,4
"1850:6",1850,"bales",6,5,103,4.85436893203883,4
"1850:6",1850,"Ist",6,5,103,4.85436893203883,4
"1850:6",1850,"England",6,5,103,4.85436893203883,4
"1850:6",1850,"upon",6,5,103,4.85436893203883,4
"1850:7",1850,"Calcutta",7,82,337,24.3323442136499,5
"1850:7",1850,"bark",7,82,337,24.3323442136499,5
"1850:7",1850,"Brit",7,77,337,22.8486646884273,5
"1850:7",1850,"Bux",7,71,337,21.0682492581602,5
"1850:7",1850,"ship",7,69,337,20.4747774480712,5
"1850:7",1850,"Mahomed",7,64,337,18.9910979228487,5
"1850:7",1850,"brig",7,61,337,18.1008902077151,5
"1850:7",1850,"cwt",7,58,337,17.2106824925816,5
"1850:7",1850,"London",7,57,337,16.9139465875371,5
"1850:7",1850,"Bombay",7,55,337,16.3204747774481,5
"1850:7",1850,"Sago",7,51,337,15.13353115727,5
"1850:7",1850,"cent",7,51,337,15.13353115727,5
"1850:8",1850,"Calcutta",8,82,337,24.3323442136499,6
"1850:8",1850,"bark",8,82,337,24.3323442136499,6
"1850:8",1850,"Brit",8,77,337,22.8486646884273,6
"1850:8",1850,"Bux",8,71,337,21.0682492581602,6
"1850:8",1850,"ship",8,69,337,20.4747774480712,6
"1850:8",1850,"Mahomed",8,64,337,18.9910979228487,6
"1850:8",1850,"brig",8,61,337,18.1008902077151,6
"1850:8",1850,"cwt",8,58,337,17.2106824925816,6
"1850:8",1850,"London",8,57,337,16.9139465875371,6
"1850:8",1850,"Bombay",8,55,337,16.3204747774481,6
"1850:8",1850,"Sago",8,51,337,15.13353115727,6
"1850:8",1850,"cent",8,51,337,15.13353115727,6
"1851:3",1851,"upon",3,13,105,12.3809523809524,1
"1851:3",1851,"Sir",3,8,105,7.61904761904762,1
"1851:3",1851,"left",3,6,105,5.71428571428571,1
"1851:3",1851,"passengers",3,6,105,5.71428571428571,1
"1851:3",1851,"arrival",3,6,105,5.71428571428571,1
"1851:3",1851,"Exhibition",3,6,105,5.71428571428571,1
"1851:3",1851,"arrived",3,6,105,5.71428571428571,1
"1851:3",1851,"announce",3,5,105,4.76190476190476,1
"1851:3",1851,"subject",3,5,105,4.76190476190476,1
"1851:3",1851,"place",3,5,105,4.76190476190476,1
"1851:3",1851,"without",3,5,105,4.76190476190476,1
"1851:3",1851,"ami",3,5,105,4.76190476190476,1
"1851:3",1851,"present",3,5,105,4.76190476190476,1
"1851:3",1851,"lie",3,5,105,4.76190476190476,1
"1851:3",1851,"Captain",3,5,105,4.76190476190476,1
"1851:3",1851,"called",3,5,105,4.76190476190476,1
"1851:3",1851,"well",3,5,105,4.76190476190476,1
"1851:4",1851,"announce",4,43,152,28.2894736842105,2
"1851:4",1851,"passengers",4,41,152,26.9736842105263,2
"1851:4",1851,"arrival",4,38,152,25,2
"1851:4",1851,"Singapore",4,28,152,18.4210526315789,2
"1851:4",1851,"Calcutta",4,24,152,15.7894736842105,2
"1851:4",1851,"Hongkong",4,19,152,12.5,2
"1851:4",1851,"China",4,19,152,12.5,2
"1851:4",1851,"received",4,16,152,10.5263157894737,2
"1851:4",1851,"Captain",4,16,152,10.5263157894737,2
"1851:4",1851,"Ihe",4,13,152,8.55263157894737,2
"1851:4",1851,"Miss",4,13,152,8.55263157894737,2
"1851:4",1851,"John",4,13,152,8.55263157894737,2
"1851:4",1851,"Sir",4,12,152,7.89473684210526,2
"1851:4",1851,"Bombay",4,11,152,7.23684210526316,2
"1851:5",1851,"received",5,16,133,12.0300751879699,3
"1851:5",1851,"arrived",5,15,133,11.2781954887218,3
"1851:5",1851,"Calcutta",5,14,133,10.5263157894737,3
"1851:5",1851,"Hie",5,11,133,8.27067669172932,3
"1851:5",1851,"Ihe",5,10,133,7.5187969924812,3
"1851:5",1851,"China",5,9,133,6.76691729323308,3
"1851:5",1851,"Sir",5,9,133,6.76691729323308,3
"1851:5",1851,"journals",5,9,133,6.76691729323308,3
"1851:5",1851,"brought",5,9,133,6.76691729323308,3
"1851:5",1851,"Pinang",5,8,133,6.01503759398496,3
"1851:5",1851,"Captain",5,8,133,6.01503759398496,3
"1851:5",1851,"Court",5,7,133,5.26315789473684,3
"1851:5",1851,"steamer",5,7,133,5.26315789473684,3
"1851:5",1851,"Government",5,7,133,5.26315789473684,3
"1851:5",1851,"Hongkong",5,7,133,5.26315789473684,3
"1851:5",1851,"Singapore",5,7,133,5.26315789473684,3
"1851:5",1851,"advices",5,6,133,4.51127819548872,3
"1851:5",1851,"vessels",5,6,133,4.51127819548872,3
"1851:5",1851,"days",5,6,133,4.51127819548872,3
"1851:5",1851,"left",5,6,133,4.51127819548872,3
"1851:5",1851,"ship",5,6,133,4.51127819548872,3
"1851:5",1851,"Dutch",5,6,133,4.51127819548872,3
"1851:5",1851,"place",5,6,133,4.51127819548872,3
"1851:5",1851,"Steamer",5,6,133,4.51127819548872,3
"1851:5",1851,"arrival",5,6,133,4.51127819548872,3
"1851:5",1851,"brig",5,6,133,4.51127819548872,3
"1851:5",1851,"intelligence",5,6,133,4.51127819548872,3
"1851:5",1851,"end",5,5,133,3.7593984962406,3
"1851:5",1851,"seen",5,5,133,3.7593984962406,3
"1851:5",1851,"appeared",5,5,133,3.7593984962406,3
"1851:5",1851,"board",5,5,133,3.7593984962406,3
"1851:5",1851,"Erin",5,5,133,3.7593984962406,3
"1851:5",1851,"notice",5,5,133,3.7593984962406,3
"1851:5",1851,"lor",5,5,133,3.7593984962406,3
"1851:5",1851,"Cape",5,5,133,3.7593984962406,3
"1851:5",1851,"members",5,5,133,3.7593984962406,3
"1851:5",1851,"lie",5,5,133,3.7593984962406,3
"1851:5",1851,"gold",5,5,133,3.7593984962406,3
"1851:5",1851,"meeting",5,5,133,3.7593984962406,3
"1851:5",1851,"learn",5,5,133,3.7593984962406,3
"1851:5",1851,"land",5,5,133,3.7593984962406,3
"1851:5",1851,"ihe",5,5,133,3.7593984962406,3
"1851:6",1851,"Lord",6,9,115,7.82608695652174,4
"1851:6",1851,"Sir",6,9,115,7.82608695652174,4
"1851:6",1851,"Captain",6,9,115,7.82608695652174,4
"1851:6",1851,"British",6,9,115,7.82608695652174,4
"1851:6",1851,"upon",6,9,115,7.82608695652174,4
"1851:6",1851,"present",6,7,115,6.08695652173913,4
"1851:6",1851,"well",6,7,115,6.08695652173913,4
"1851:6",1851,"place",6,6,115,5.21739130434783,4
"1851:6",1851,"case",6,6,115,5.21739130434783,4
"1851:6",1851,"public",6,6,115,5.21739130434783,4
"1851:6",1851,"lie",6,6,115,5.21739130434783,4
"1851:6",1851,"arrived",6,6,115,5.21739130434783,4
"1851:6",1851,"Court",6,6,115,5.21739130434783,4
"1851:6",1851,"letter",6,5,115,4.34782608695652,4
"1851:6",1851,"subject",6,5,115,4.34782608695652,4
"1851:6",1851,"address",6,5,115,4.34782608695652,4
"1851:6",1851,"appears",6,5,115,4.34782608695652,4
"1851:6",1851,"almost",6,5,115,4.34782608695652,4
"1851:6",1851,"pcs",6,5,115,4.34782608695652,4
"1851:6",1851,"use",6,5,115,4.34782608695652,4
"1851:7",1851,"bark",7,105,341,30.791788856305,5
"1851:7",1851,"ship",7,83,341,24.3401759530792,5
"1851:7",1851,"cwt",7,80,341,23.4604105571848,5
"1851:7",1851,"brig",7,79,341,23.1671554252199,5
"1851:7",1851,"Calcutta",7,76,341,22.2873900293255,5
"1851:7",1851,"Brit",7,72,341,21.1143695014663,5
"1851:7",1851,"London",7,69,341,20.2346041055718,5
"1851:7",1851,"Liverpool",7,62,341,18.1818181818182,5
"1851:7",1851,"Guan",7,60,341,17.5953079178886,5
"1851:7",1851,"British",7,55,341,16.1290322580645,5
"1852:4",1852,"announce",4,38,177,21.4689265536723,1
"1852:4",1852,"arrival",4,37,177,20.9039548022599,1
"1852:4",1852,"passengers",4,36,177,20.3389830508475,1
"1852:4",1852,"Singapore",4,27,177,15.2542372881356,1
"1852:4",1852,"received",4,21,177,11.864406779661,1
"1852:4",1852,"Captain",4,21,177,11.864406779661,1
"1852:4",1852,"Calcutta",4,17,177,9.6045197740113,1
"1852:4",1852,"arrived",4,16,177,9.03954802259887,1
"1852:4",1852,"Hie",4,13,177,7.34463276836158,1
"1852:4",1852,"lie",4,13,177,7.34463276836158,1
"1852:4",1852,"steamer",4,12,177,6.77966101694915,1
"1852:4",1852,"Dutch",4,11,177,6.21468926553672,1
"1852:4",1852,"Ihe",4,11,177,6.21468926553672,1
"1852:4",1852,"ami",4,11,177,6.21468926553672,1
"1852:4",1852,"China",4,11,177,6.21468926553672,1
"1852:5",1852,"Ihe",5,19,228,8.33333333333333,2
"1852:5",1852,"Lord",5,15,228,6.57894736842105,2
"1852:5",1852,"received",5,13,228,5.70175438596491,2
"1852:5",1852,"Sir",5,12,228,5.26315789473684,2
"1852:5",1852,"Hie",5,11,228,4.82456140350877,2
"1852:5",1852,"given",5,11,228,4.82456140350877,2
"1852:5",1852,"lie",5,11,228,4.82456140350877,2
"1852:5",1852,"country",5,10,228,4.3859649122807,2
"1852:5",1852,"Captain",5,10,228,4.3859649122807,2
"1852:5",1852,"ihe",5,10,228,4.3859649122807,2
"1852:5",1852,"upon",5,10,228,4.3859649122807,2
"1852:5",1852,"Chinese",5,9,228,3.94736842105263,2
"1852:5",1852,"way",5,9,228,3.94736842105263,2
"1852:5",1852,"house",5,9,228,3.94736842105263,2
"1852:5",1852,"great",5,9,228,3.94736842105263,2
"1852:5",1852,"brought",5,8,228,3.50877192982456,2
"1852:5",1852,"ill",5,8,228,3.50877192982456,2
"1852:5",1852,"old",5,8,228,3.50877192982456,2
"1852:5",1852,"place",5,8,228,3.50877192982456,2
"1852:5",1852,"Calcutta",5,8,228,3.50877192982456,2
"1852:5",1852,"gold",5,8,228,3.50877192982456,2
"1852:5",1852,"China",5,8,228,3.50877192982456,2
"1852:5",1852,"Singapore",5,8,228,3.50877192982456,2
"1852:5",1852,"gentleman",5,7,228,3.07017543859649,2
"1852:5",1852,"passengers",5,7,228,3.07017543859649,2
"1852:5",1852,"arrival",5,7,228,3.07017543859649,2
"1852:5",1852,"wife",5,7,228,3.07017543859649,2
"1852:5",1852,"late",5,7,228,3.07017543859649,2
"1852:5",1852,"always",5,7,228,3.07017543859649,2
"1852:5",1852,"instant",5,7,228,3.07017543859649,2
"1852:5",1852,"report",5,6,228,2.63157894736842,2
"1852:5",1852,"tint",5,6,228,2.63157894736842,2
"1852:5",1852,"left",5,6,228,2.63157894736842,2
"1852:5",1852,"morning",5,6,228,2.63157894736842,2
"1852:5",1852,"good",5,6,228,2.63157894736842,2
"1852:5",1852,"steamer",5,6,228,2.63157894736842,2
"1852:5",1852,"put",5,6,228,2.63157894736842,2
"1852:5",1852,"arc",5,6,228,2.63157894736842,2
"1852:5",1852,"arrived",5,6,228,2.63157894736842,2
"1852:5",1852,"young",5,6,228,2.63157894736842,2
"1852:5",1852,"Police",5,6,228,2.63157894736842,2
"1852:5",1852,"reached",5,6,228,2.63157894736842,2
"1852:5",1852,"party",5,6,228,2.63157894736842,2
"1852:6",1852,"ami",6,13,207,6.28019323671498,3
"1852:6",1852,"lie",6,13,207,6.28019323671498,3
"1852:6",1852,"left",6,11,207,5.31400966183575,3
"1852:6",1852,"Sir",6,11,207,5.31400966183575,3
"1852:6",1852,"great",6,11,207,5.31400966183575,3
