"index","year","word","page","frequency","articleCount","stfreq","pagegroup"
"1845:2",1845,"bark",2,24,120,20,1
"1845:2",1845,"received",2,19,120,15.8333333333333,1
"1845:2",1845,"Steamer",2,18,120,15,1
"1845:2",1845,"Dutch",2,17,120,14.1666666666667,1
"1845:2",1845,"China",2,17,120,14.1666666666667,1
"1845:2",1845,"Manila",2,16,120,13.3333333333333,1
"1845:2",1845,"ship",2,14,120,11.6666666666667,1
"1845:2",1845,"arrival",2,12,120,10,1
"1845:2",1845,"arrived",2,12,120,10,1
"1845:2",1845,"Calcutta",2,11,120,9.16666666666667,1
"1845:2",1845,"Bombay",2,11,120,9.16666666666667,1
"1845:2",1845,"British",2,11,120,9.16666666666667,1
"1845:2",1845,"Malacca",2,10,120,8.33333333333333,1
"1845:2",1845,"announce",2,9,120,7.5,1
"1845:2",1845,"schooner",2,9,120,7.5,1
"1845:3",1845,"China",3,17,107,15.8878504672897,2
"1845:3",1845,"British",3,16,107,14.9532710280374,2
"1845:3",1845,"Intelligence",3,14,107,13.0841121495327,2
"1845:3",1845,"received",3,13,107,12.1495327102804,2
"1845:3",1845,"brig",3,13,107,12.1495327102804,2
"1845:3",1845,"European",3,11,107,10.2803738317757,2
"1845:3",1845,"bark",3,11,107,10.2803738317757,2
"1845:3",1845,"Brit",3,11,107,10.2803738317757,2
"1845:3",1845,"Ist",3,10,107,9.34579439252336,2
"1845:3",1845,"schooner",3,10,107,9.34579439252336,2
"1845:3",1845,"Sir",3,9,107,8.41121495327103,2
"1845:3",1845,"ship",3,8,107,7.47663551401869,2
"1845:3",1845,"Dutch",3,8,107,7.47663551401869,2
"1845:3",1845,"Rhio",3,8,107,7.47663551401869,2
"1845:3",1845,"Manila",3,8,107,7.47663551401869,2
"1845:3",1845,"understand",3,7,107,6.54205607476635,2
"1845:3",1845,"Hongkong",3,7,107,6.54205607476635,2
"1845:3",1845,"General",3,7,107,6.54205607476635,2
"1845:3",1845,"much",3,6,107,5.60747663551402,2
"1845:3",1845,"left",3,6,107,5.60747663551402,2
"1845:3",1845,"Calcutta",3,6,107,5.60747663551402,2
"1845:3",1845,"sent",3,6,107,5.60747663551402,2
"1846:2",1846,"Steamer",2,70,331,21.1480362537764,1
"1846:2",1846,"China",2,56,331,16.9184290030211,1
"1846:2",1846,"arrived",2,53,331,16.012084592145,1
"1846:2",1846,"Calcutta",2,46,331,13.8972809667674,1
"1846:2",1846,"bark",2,38,331,11.4803625377643,1
"1846:2",1846,"Captain",2,37,331,11.178247734139,1
"1846:2",1846,"received",2,36,331,10.8761329305136,1
"1846:2",1846,"brig",2,35,331,10.5740181268882,1
"1846:2",1846,"ship",2,34,331,10.2719033232628,1
"1846:2",1846,"arrival",2,32,331,9.66767371601208,1
"1846:3",1846,"China",3,61,348,17.5287356321839,2
"1846:3",1846,"European",3,53,348,15.2298850574713,2
"1846:3",1846,"British",3,49,348,14.0804597701149,2
"1846:3",1846,"bark",3,42,348,12.0689655172414,2
"1846:3",1846,"Intelligence",3,37,348,10.632183908046,2
"1846:3",1846,"Calcutta",3,31,348,8.9080459770115,2
"1846:3",1846,"brig",3,31,348,8.9080459770115,2
"1846:3",1846,"ship",3,28,348,8.04597701149425,2
"1846:3",1846,"received",3,24,348,6.89655172413793,2
"1846:3",1846,"Dutch",3,24,348,6.89655172413793,2
"1846:3",1846,"arrived",3,23,348,6.60919540229885,2
"1846:3",1846,"India",3,22,348,6.32183908045977,2
"1846:4",1846,"bark",4,165,355,46.4788732394366,3
"1846:4",1846,"sight",4,160,355,45.0704225352113,3
"1846:4",1846,"days",4,154,355,43.3802816901408,3
"1846:4",1846,"British",4,150,355,42.2535211267606,3
