Date	Page	Abstract
19000101	909090	909090
19000102	Page 2	DOMESTIC OCCURRENCE. DEATH. Oil January lat, at gingipore, J. W. Bins h ix.
19000102	Page 2	TUESDAY, 2nd JANUARY, 1900. OF THE WAR. The telegrams of Saturday afternoon, o' Sunday, and of to-day tell of a quantity of misaellaneous fighting. From (olesberg, in Cipe Colony, there was a Sew Year's Day British victory. From Dordrecht there is news of a Boer 'repulse. It is related from...
19000102	Page 2, REUTER	REUTER'S TELEGRAMS [For amvenience lake ice pit' the wire received to-&lt;UiyJi'st. Thote who h-ne not already teen the wiret of Sunday and yetttnUiy trill find the newt put njte. that received to-day.]
19000102	Page 2	TO-DAY'S WIRE. FRENCH INFLICTS A DEFEAT. 2nd January. The evening papers publish a message stating that General French routed tbe Boers and occupied Cole^burg yesterday morning (January Ist) after a night march. The details! given are that a body of cavalry and light artillery out-Banked the enemy, while the infantry...
19000102	Page 2	ENEMY REPULSED AT DORDRECHT. It is reported that 2,000 Bjerg have attacked Dordrecht and have been repulsed.
19000102	Page 2	BOER FIRE AT LADYSMITH. IT IS BECOMING MORE ACCURATE. At Ladysmith, by the bursting of a Boer shell in an officers' mess room, tbe following were wounded Lieuts. Dent, Twish, Caffyn, Scafe, and Kane of tbe Devons; Lieut. Bryns of the Inniskillings and Lieut. Tringbam of tbe Queen's West Sarreys....
19000102	Page 2	A RECONNAISSANCE. A reconnaissance from Cbieveley on tlie:iOth Dec. (Saturday) has proved 'hat the Boors still hold Hingivane strongly. Hingivane is the Zulu name of an eminence in the vicinity of Chieveley.]
19000102	Page 2	GERMAN STEAMER CAPTURED. SUE DENIES HAVING CONTRABAND ON BOARD. Londoji, tUt Dm. The German steamer Bundarath, having three German officers and twenty men aboard dressed in khaki, has been captured in Delagoa Buy and taken to Durban. Government is convinced that she has not been seized without ample justification, but...
19000102	Page 2	XMAS AT MAFEKING. A Boer despatch states that the British onChri'-matDay hotly attacked the Boer Fort Maiopo, outside Mafeking, .md that the British lost 109. The Boer losses were only nine.
19000102	Page 2	A LORD WOUNDED. Lord Cecil Cavendish Bentinok is wounded. [Lord Cecil Cavendish Bentiuck is a Lieutenant of tbe 9th Lancers (tbe Queen's Koyal.) He was selected for special service in the Mafeking di trict and was probably wounded in the sortie which is recorded to-day.*
19000102	Page 2	AT LADYSMITH. General Sir George White has made a sortie from Ladysmith and has captured a hill.
19000102	Page 2	"CHINA. THE ""OPEN DOOli."" Is/ Jan. It is stated at Washington that the result of Mr. Hay's negotiations to secure an open door in China is mast gratifying. Great Britain, Germany, France, Russia, and Japan have responded favourably."
19000102	Page 2	IN CAPE COLONY. DISAFFECJTKD DUTCH. The Volunteers at Deelfontein, twenty miles soulh .of Do Aar, dispersed a party of Boers on the railway on Christmas Day. They had no casualties. The same correspondent states that there is increasing dfsnffection in Cape Colony [among the Dutch], but nothi ik like concerted...
