Date	Page	Abstract
18990101	909090	909090
18990102	909090	909090
18990103	Page 2, REUTER	STRAITS TIMES TUESDAY, 3RD JANUARY, 1899. REUTER'S TELEGRAMS. SIAM AND FRANCE. Kstablibrid: 1831. PRICK IS CENTS. .Sul«nripli,.n rala ami tulrrrtuing rain may be found on the fourth paqe.\ TKNSION F.XISTINO. LoruUi.t, tai January, /#!&lt;:■. Tkssion exists Iwtween the French and Siamese. This fact is obtaining increased notice in the French...
18990103	Page 2	L'AFFAIRE DREYFUS. Aa Court of Cassation has derided to interrogate Dreyfus on certain naiad through the Magistrate a* Cayenne. This puiposeol thcC t disposes of the reports of DcofftMt hwDadJoM return to France
18990103	Page 2	SPAIN AND THE STATES. An ollicial note from the Spani-h iH.v.ri.iiicn: reminds the American Government of its promise to obtain tl release of the Spanish prisoners held by the Philippine insurgents
18990103	Page 2	THE SPANISH PREMIER. BODOI Bagaata, Preiniel of Spain, is recovering from his recent ladlenoaHkoQ.
18990103	Page 2	"NEW YEAR HONORUS. I In"" New car List uf Honours con* fetred in, mdes the following Kvelyn llaiiiic 0.0.aV, lIC ML. K.C.H.1., C.I K. h. IMI, Ist Baron, to lit Hon. Sir Philip Henry Currie and Juetic- Hawkins to be Peers of the realm. [Sir I'lnhp joined the diplomatic service..."
18990103	Page 2	TROUBLE AT SHANGHAI. hikncii uuiunw taWoii. latf I'll,' Km atrongly protest! again* the 1-r.IH-!. d.-x-In-11..- manner |wlicy of rl, hlsivclicss itSbaßfbli illtllCln.il !&gt;r of tli, ,sl, ii-H,ii the foreign hVHlllMlollta there That journal emphatically daelana that the Itntish nation has no intention of wbniMiai to such treatment.
18990103	Page 2	HAVANA 1 s. fUa HOISTED. The American fa| has bean bntftad Nothing mhnraid happened
18990103	Page 2	CHEEERFUL SIAM. Tbi Bern lias ri'udieil ■aro|M of the i..i,,t 0,11,-1..,, batwi Knuta ,,,1 SiuMM -i-tiits in of m the 86 kiloin.'tr.- no*, on the rittlit bank of ih* Mekong. K.-uiit u,,iui,,n» the occurivn. in tlu t -ur;t rn-&gt; we |.uMif.|i today, and nidi llial the Uuuion bAM tin two...
18990103	Page 2	"""VANITAS."" INOTHBB win ran tcmjn, M U the Cat, i.tia Ka. and nrrl Chowriim Cup He &lt; entered lut. a furl L'lu rupeea, bat for tome reaj ■Mwjthdßwnitfoni"
