Date	Page	Abstract
18510101	909090	909090
18510102	909090	909090
18510103	909090	909090
18510104	909090	909090
18510105	909090	909090
18510106	909090	909090
18510107	Page 3	European Intelligence I Tie latest iKelligence few. Berlin announces I vLof M. Radowitz, «nU, with that, f;:3— by Prussia of the closes o» Isc ,1 probably of the great military move- meats' *hich, with the preparations of Austria ii,pm have created such a sensation l lu flnpt.&gt;,. v-4 hussu. is...
18510107	Page 3	LORD JOHN RUSSELL AND THE PAPAL AGGRESSION. 10 the higul' iv.v. the blsuop of dihiiam. My dear Lord, I agiee with you in cousidariag the lute aggression of the Pope upon our Protestantism' as innolent and insidious,' and I therefore fed us indignant as you can do upon tbe subj-Jd....
18510107	Page 4	Straits Times Singapore: Tuesday, Jan. 7TH 1851. We have lo announce the arrival of the folowing passengers Dec. 30th per Vr.i/.n li.it from Manila. Drs. Lawrdra mid Ladiue 41 per X« piniiL fi.&gt;m Maulmaiti, W. D. John stone i'.sq. and 2 masters Kuhardg, ,n Jan 3 per Uatavia frum BaUvia,...
18510107	Page 4	"CHINA. (From the Overland Rei/i^nr, DeciH.j The occurrences during tb* month have few Mi unimportant. 11. M.'s steam &gt; l'ov with the Bishop of Victoria on board, v"" from Shanghae o:i the 9ih- instant, having called at Fuclna and Am iy on her way down the coast. The piratical murderers..."
18510107	Page 7	"SINGAPORE SHIPPING NEWS ARRIVALS Dec. 30-Brit. Brig Elizabeth, Marcus, Pinang Dec 20. —Span bark Yruzacbal, Cortina, Manila Dec. 21. ,l'_,rtrc.' ,dY""..N&gt;Uine. M'""v Moulmain Dec. 11. Jan. I— Dutch bark Jattie Liong, Wolff, Amoy Dec. 21. Brit, schooner Syed Khan, Smith, Macassar Dec. 4. Do. brig Arratoon Apcar, Durham, China Dec...."
18510107	Page 7	RATES OF PREMIA Of INSURANCE AT SINGAPORE. (l)N UJODS) VOYAGES BY SAILING VESSELS. Per Ccn 1 To Great Britain 2j Continental I'orts in Europe 2\ Manau, Curasintrmoon and MiHM betwern 30th June Hongkong or and Ut March li Wuampou sailing between 28i.1i Feb. aud Ist July U Amoy, during the...
