Date	Page	Abstract
19420101	Page 2	DEATHS On nee 31, 1941 at Dustulum Hospital, Sydney, Australia, Gladys, beloved wife of Harold Mackenzie of Ulu Tiram Estate, Johore Bahru. BRIOTiT, John suddenly at the General K'.pital, Singapore, on January, Ist. 1942. Aged 54. Funeral at Bidadari Ccmetry today at 4.30 p.m. PBRBP On December 25, 1941, ALEXANDER...
19420101	Page 2	ACKNOWLEDGMENT
19420101	Page 4	The Straits Times SINGAPORE, THURS, JAN. 1, 1942. (851st. Day Of The War.) A.D. 1942 Goodbye to the year 1941 £ind good riddance We enter Into a New Year in Socal conditions that are simply fantastic. There is no better word to describe the situation. Even a month ago we...
19420101	Page 4	SYDNEY NEW YEAR BAN Sydney. Dec. 30. A BAN baa been imposed on street fathering! and revellers on New Year'l Eve. the police and A R.P. .'Miuns not being desirous ot ll g tbe rL;k of beln-» called upon :n handle Imp erawdi In the partial 1 lack-out should an...
19420101	Page 4, REUTER	RUSSIANS PURSUE NAZIS IN CRIMEA London, Dec. 31. THE latest news from the Crimea is that the Rus- sians are in hot pursuit of the Germans retreating from Kerch. It is stated in London that in view of the great effort made by the Germans to capture Sebastopol, this success...
19420101	Page 4, REUTER	How Crimean Towns Were Recaptured Moscow, Dec. 31. 4 GRAPHIC account of Russia's great new triumph in the Crimea is given by the Pravda correspondent in Moscow, who early to-day got in touch by wireless with members of the military council of the Caucasian front division, Commissar Shafnin. Commissar Snafnin...
19420101	Page 4, REUTER	Axis Escape Bid Fails Cairo. Dec. 31. TO-DAY'S rather reticent communique indicates that Gen. Rommel has *je2n cornered around Agedabia and is fighting hard to avoid encirr lement. using every possible armoured vehicle he can lay hands on. The indications are that his bid to break through the ircn ring...
19420101	Page 4, REUTER	NEWS IN BRIEF London, Dec. 31. A NOTIFICATION has been received in London from the Swiss consulj general in Shanghai that Britbh and American officials in Shanghai, Canton. Hankow, Tientsin and Peking are con- fined to their hotels and consular comI pounds and are well treated. Private citiren' are not...
19420101	Page 4, REUTER	RED UNION LEADERS SEE BLITZED LONDON LtJ don, Dec. 31. THE Russian trades union delegation which arrived in London on Tues- day with Mr. Anthony Eden, British j Foreign Secretary, motored through some of the worst raided areas in I London to-day At Termondsey, they inspected the A.R.P. services. The...
19420101	Page 4, REUTER	CANADA'S GESTURE Ottawa. Dec. 30. IT Is unofficially reported here that an agreement is pending for furthrr Canadian financial assistance for the United Kingdom. The net United Kingdom deficit on this side In the 12 months ending March 31, 1942. •Is estimated at $900,030,000 i about 200.000 000). The prospective...
19420101	Page 4	CHINA'S 1942 PLANS Chungking, Dec. 31. rpHE influential Ta Kung Pao 10-aay x listed the Chinese Government's administrative plans for 1942 as: (1) the establishment of a wartime Political Council under the Supreme National Defence Council as Its advisory organ; (2) the creation of a Directorate General of Land under...
19420101	Page 4	HongKonglnf or niation Chief Wounded In Escape Chungking, Dec. 31. AFTER destroying their speedboats in order not to leave a trace of their trail to their Japanese pursuers, '68 survivors of the 72 who escaped from Hong Kong on Christmas Day made their way inland through guerilla areas and headed...
19420101	Page 4, REUTER	N.I Governor's Call For Sacrifices Batavia, Dec. 31. rIE Governor-General of the Netherlands Indies, Jonkheer A. W. L. Tjarda van Starkenborgh Stachouwer, in a broadcast to-day declared that although they had not sought war the Netherlands Indies were resolved to fight it to the end. Calling upon all fellow citizens...
