Date	Page	Abstract
18530101	909090	909090
18530102	909090	909090
18530103	909090	909090
18530104	Page 4	Straits Times SINGAPORE: TUESDAY, JAN. 3RD. 1853. We have to announce lii&lt;* arrival of the following passengers: Dt-c. SO per Lulv Mary *&gt;V,&gt;&lt;&gt; 1 from Hongkong, turn. M. F. Divi.lsoii, J. \i Uumiaiax and Hollfngr; Jan. Is:- p.-r Neplnno lVom Manila 1 -.1-. Wiuhbourti aud Iver. fjaui. |u-r H.ttrivi 1...
18530104	Page 7	SINGAPORE SHIPPING ARRIVALS. Dec 23— British bark liuaun Rasool, Nakoda, Malacca Dec. 23. Do. brig Kilty, McLean, Amoy Dec. 8. Da. do. Punch, Allen, Adelaide Nov. 7. Am. ship Queen of the East, Hiril.u California Nov. 11. 29 British bark Hannah, Heritage, Amoy, Dec. 18. French do. Antonio, Morger, Ditto...
18530104	Page 7	VESSELS EXPECTED FROM EUROPE (.'ui'it-iiuii Ji4i.«i..iaJ.i-M L'&gt;ndou 6 Aug. Duiv'L'l.tnd Viersmo Cardiff 2-» Matilda Me. Phuu Liverpool '21 Sept Janet W'iU n Uutcliison Clyde I Uci. Am .ii -a i Kuyenis London 3 Sept. Flora Mure Glorer Glasgow Dorisana K &gt;oertJOQ Liverpool 11 Oct. Canada Wi.liaias London 1* Nor. Flora...
18530104	Page 7	"FREIGHTS TO LONDON LIVERPOOL Antimony Ore 2. 10 Mt 20 owlTin £""A 3 M 2. 10 Sago in Boxes II 3 Sago in Hags '2. 10 per 2U c* t. Uaiubieriu baskets 1 IT&gt; Ditto in li.ilci £2. 10 CofFee in baga £2. 15 ptrlScvt Black i«i&gt;i&gt;er 13 perlticwt. MMSurement..."
18530104	Page 7	MONEY MARKET On England 6 Mouths cr«dits 4s. 'iv.at 4.. Bd. perdoiUr. On Calcutta 219 per 1 00 dollars Bombay N 'lays siiflit Ks- SSI p-r dolUra 10i» Sycet- Silver S tot&lt;i per eeM premmn lor Urj* Coiapviv's libsm til I 1 I; dollars J*v* Uuptses (new) -'70 per 10ti...
18530104	Page 7	"RATES OF PREMIA OF INSURANCE AT SINGAPORE. (ON GOUUSj VOYAOKS BY SAILING VESSELS. FerCont To Great Britain J»J Continental forts in Europe to J Macao. Cuiii»in&lt;.'ini&gt;un and sailins between 30th Juno l\ Hongkong ""t and Ut Much WmUM* &gt; ling between 39th June 1 i and Ist March Amoy, during..."
18530104	Page 7	"SHIPPING IN THE HARBOUR. NATIVE CRAFT BRITISH. 8w»llow"" (Jadtrbux. Buccaneer, Mydin Bux.Hamida, Futta Sarawak, Cadir Box, Sundra Letchmy, Hydroose, Fatty Marian, Fully Mombarick, Moulah Wadoct. Maul Kasool. DUTCH— LaeSeng, Jatu, Indramyo, Futta Salam, P.»ku» Suda, Boreas, t uttel hachmau, Fathooi Kaiim, Guan Soon, (kmir, Kum Hek Sing Sree, Balaw, Biulang..."
18530105	909090	909090
18530106	909090	909090
18530107	909090	909090
18530108	909090	909090
18530109	909090	909090
18530110	909090	909090
18530111	Page 3	THE COBRA POISON. To the editor op the Evening Mail. Sir. The humane and scientific interest which attaches to the recent melancholy accident in the death of one of the keepers of the Zoological Gardens must plead my apology for wishing to occupy a small sp.ee in your inikaential journal....
18530111	Page 4	Straits Times SINGAPORE: TUESDAY, JAN. 11TH. 1853. We have lo announce the arrival of the following passengers: Jan, C per Malta from Galle, see Times Extra Jan. 6. We hare to announce the departure of the following passengers Jan. 3 to Pi la ig per O illant, Lieut, and Mrs....
18530111	Page 5	CHINA. Disturbances at Amoy. The Coolie emigrnti &gt;n trade, which we have so often drnounced, and the Sea horrors of which we have hud so often to chronicle, has at last brought with it disturbance and death on Und. We elsewhere give an account. which wo believe to be substnutially...
18530111	Page 6	MONTHLY MARKET REPORT. Singapore, Jan. 3rd. 1853. The Bugis traders remaining here, at the date of our last Circular, invested little of the returns »f their cargoes in manufactures, confining their operations chiefly to Opium: on this account we have to report a dull market for cotton piece goods; prices...
18530111	Page 6	"Shipping INTELLIGENCE. Arrivko raon Eukope.— D^c. M ,n ,i,., ■kvwi liu»,;o* Amuionx (Bcij.) Do Barter, Antwerp; 16 L'luuoer, Wilson, fiUtgovj igZktkt, Wlliuiuv.n, LiverjK&gt;ol. J*.i. Anue Powell. Rowland*, (Jarcllir. From AuVUiiW— IKc. 99 Punch, A.lel.ii-le. Fr.uii A.r. t c;.u. Dec. 91 J«ltM Bucimn."", t»iugatou Fnun Bnlavia.— Dec. 6 Matil.la, Bl ivn.-;..."
18530111	Page 7	SINGAPORE SHIPPING ARRIVALS in. o— Brit, ii.-irk Je.n.ni Pcroin, Mirth, Whampoa Doc. 25 6 -D sclir. Dido, Stjlc«, Sarawak Dec. 21 Do. do Buffalo, Nakoda, Pontianak Dec. 30 a P. &O. O'i S. V. Malta, Potts, Galle D.'C 29 7— But. schr. Ahris, U.uimgirlen, Arracan Dec 18 D.i. s'.i.p Lird...
18530111	Page 7	VESSELS EXPECTEO FROM EUROPE. Catiienoa JuhanuaJaiki London 4 Aug. Duivelaud Viersmo Cardiff 2S Maul In Me. I'linn Liverpool 21 Sept. Janet Wilson Hutchison Clyde 3 Oct. AniO'iratra KuyekU London 3 Sept. V/lsn Mure Glover Glasgow UurUana H &gt;bertson Liverpuul 14 Oct. r.n.ici.i Williams London 2 Nov. Flora Kerr Paul tilasgo*...
18530111	Page 7	FREIGHTS TO LONDON LIVERPOOL Antimony Ore 2. 10 per 20 c»f Tin £2. 5 J. 10 Sngo in Uuxes C& II Sago in Bags '2 10 per 20 cwt. (Jaiiliier in baskets £2. 15 Ditto isj bales £2. 10 Cotlee in bags £2. 15 per IS cwt. Black pepper 2....
18530111	Page 7	MONEY MARKET On Knglaud GMoiiihs credits 4*. 'id.al 4a. Bd. per dollar* On Calcutta 2\ l J per lOOdulUrs. Bombay 30 days light K«- 223 per dollar* IIM Sycee Silver 8 tool pur cent premium fur largo Company's Rupees t\a per lt&gt;o dollars J.iva Kui'ce.s (new) '27U per ll&gt;o dollars...
18530111	Page 7	Hates OF PREMIA OF INSURANCE AT SINGAPORE. (ON IiUOL&gt;») VOYAGES UV SAILING VESSKLS. Ftr Cent To Cire.U liritiiin 24 to 3 CiiiitiiivuUl fotu It Eurj,&gt;e 2} to 3 Mdcio, Ciim»iiiv(iiioou and sailing between 30th June iJ llou^koug or uu.l UtMirch \V ii.ii. i[&gt;oa wiling between 30. li June li aiid...
