Date	Page	Abstract
18620101	909090	909090
18620102	909090	909090
18620103	909090	909090
18620104	Page 1	STRAITS TIMES s\ 11 kimV. .1 \v. i 1862.
18620104	Page 2	NEWS OF THE WEEK MONDAY, J'ITH UKCKMBEIt The Magfaliata will try cases to day, but the sheet of charges does not contain any orfeuces uf a more than ordinary nature.
18620104	Page 2	FROM OUR OWN CORRESPONDENCE LABUAN, 17'/&lt; I&gt;'C. IIS6I. There is BtrtMas; much «&gt;tining liere, the iniuesheint* siillcl.iM-d. The miners ..re occupied in si veyini; and boring in nil dir dions so that tli-v may he prepared, as »oon as a n -w matiagt-r witii lull .1 auti.oiity comes out, to...
18620104	Page 2	CORRESPONDENCE To the Editoi- S'ini/jj ure Daily Tune*. Poir S'r, I lieu h. .licit your li-l|i sn I ■MMtaaeS I- ohtaiu relief an. l irotert o-i frnm re. v uf' 1 1 ssshd evil with vhieh »c iire fl cteil on ibe a Ivent Of tfffjf N.w Ti rmill liich...
18620104	Page 2	"RIFLES- BREECH-LOADERS. In my lan letter on tnia s bj it said I wciiill uive my tsaeoM fir befctotog ih*i ilie br.-et-ll l""n I«t Mimll coniil-li' v |*S lit niii'zlp-!n""der an the pRrMNI li &gt;s the lli:it. L.&lt;.;i&lt;l itijj at ihf lirret-h liitli- eh ut the sh -i goa \&gt;*»..."
18620104	Page 3	TH E SUSP ENS ION OF THE BABEAS CORPUS ACT IS AMERICA I' ar th.it n.o-t I. lo ur Ma4cf* «il ...-t tl 11 «I ll Will- ll We- h iv r ad ;he rarraaputtaVuM Ih-i-m 11 1.. l.\ no .1&gt; 1 Mr. Mni liv' aaaMMa W.I in lnpmiHi.l one....
18620104	Page 3	"THE CASE OF MISS JOL LY. Tin- (Bite of MmM J 1 1 y i* one which it iv praaiicallj inajiMaihla lor »n j'"". v *-o &lt; usicl. r c ilu.lx Etta Jot lit »&gt;e uluidd ■he r-port ol i lie tiiul ki a distance it n citiiiuit enoiiuli to..."
18620104	Page 3	"Singapore Shipping ARRIVAL!. BvMMjrpSud Dec. Uniisli haique Lady Amlierst 4iO tons !i:i nH..n i-.imui..iid'-r moy 7i 1 De. ciasi^nr.« .10-e ii'Aln.eid.i Ac .-oni l.iin-h Mg Mmb 107 tons ImbUbl com. mmider l J iua""u fib Dec. Aii.n'ia&gt; Oni Dei*. Bnti h I npi'ie fviflaara 9-6 t Hon coumaodw Saigoa Itlb..."
18620104	Page 3	SINGAPORE RATES OF EXCIIANU Loo too 6 inuoUu' ugbt it l\d do. 3 Uo U. c\j. do. 1 do.. 4*. ii^d. LleiunoU it. od. CalcutU 3 days'»igbt aJi. &gt;«r #100 Buiuiuty .10 Mi. do do M SMI do ML do its Ch.ua do S per omit ditouuol I'aiii i.ju tu...
18620104	Page 3	"RATES OF DISCOUNT. I mnnth II per cant per annum hi .-""li I m0nth...12 per cent p«r aaoum &gt;nitf-V jre, i&lt;\, J nu:ir» 1862."
18620104	Page 3	PRICKS OF BULLION. SiT«r&lt;ign» 44. 73. ImMMM -'f&gt;B p«r SIOO om;nni» Kiipee* 220 do. Singitpure, 4'h J•! u*ty 1P62.
18620104	Page 3	"PRICES OF OPIUM. P.itna S i,o'i.in;.| do. Bein»ri JS 7150 do. Turkey j$ ii'miinnl do. Sinn I 1""""*, 4th J..f.ii&lt;-.ry, 1862. Captitiu, arfcoaa lite be saved at me cv»» of liia own. Two otter mm were killed. The -&lt;|u;ire kept its position bravely ami drove the enemy bark after killing..."
18620104	Page 3	Shipping in Singapore Shim' Nimki. CiPTAlK I Ml— Warn Lily Mulir Steam km Wanri k \!»r.ii&lt; r Hr— i i riii.w Pliva Mbrchant Vk M Ai.nif Kihc Hirer Packet Hln.-K Diunood Hlutnli^ lo.ijoo Coi&gt;K» Cn norticuk CorJoun Bmm Khsab«th K»'l ttM K in, 11 Mye Elbe Ecdio KK'.ii &gt;r« K.mna...
18620105	909090	909090
18620106	909090	909090
18620107	909090	909090
18620108	909090	909090
18620109	909090	909090
18620110	909090	909090
18620111	Page 1	DEATH. At 1 C'.ilein in Street, on tlie .ith irntint, Mr .a.-liinnlder, lormerly 'it I slcu
18620111	Page 1	STRAITS TIMES SATI'KDAV. .lAN'. 11- 1862.
18620111	Page 1	FROM OUR OWN CORRESPONDENT Batavia, 31 st Dee 188I&lt; I Imve hut little news of importance to inform you of l&gt;\ this mail. I- ueat tier continues very unsettled, with Ml km it iveste.ly pales and heuvy t nitis. Trmle if anything a link hetter, hut ft ill very i'epie»».td....
18620111	Page 1	"MUNICIPAL COUNCIL Mini'tks of the OFOBtt dingn ''i* Munirip-tl Commissioners im th&lt; !)O n December IH6I. 'unnii issi»tiei I Pttnmt The llon'hle Colonel .Mai|&gt;lierstm, President, C, H. H htmmi, K«&lt;j., J. (i. eftiooe, Bxq., W. II Read, E-q It. R. S. Khlkmimmi, K-&lt;|. /.'//&lt;f/ Vnlut'' ils"" f»ei'U thr day uppointnl..."
18620111	Page 2	NEWS OF THE WEEK MONDAY, Gth JANUARY Thb lurger Kirn Gitan Hin, was sold at Auction on Saturday, by Mr. Wilson, for 10,000 to Messrs. Kimchiug and Brother, Thk Grand Jurors having returned ull the Hills laid befoie them, were discharged on Saturday with a hope from the Judge that...
18620111	Page 2	TUESDAY 7th JANUARY On Friday last the body of a European was passed by a gentleman in a sampan at New llaihour. The corpse seemed as it it was t leading the water, und was consequently in a stan .ing position aud appeared to have some weights attached to the...
18620111	Page 2	THURSDAY 9th JANUARY Thk lugger Kirn i&lt;uati Ilin 8.-.m--in&lt;'lit. hi' heeti chartered to proceed to the relief and assistance of the American ship Flying t'lye, stranded on Pulo Bubi.
18620111	Page 2	FRIDAY 10th JANUARY The body of ?i Cinaman was found this morning ou Beach Koad, aud was immediately sent to the dead house. A Coroners jury will be convened during the day to enquire iuto the causes of lhe death. About la. in., to-day, a fire broke nut in an...
18620111	Page 2	SATURDAY 11th JANUARY Tlie Band of M. N. I 40th Raiment will perfoim on Monday Evening at the Botanic (hardens.
18620111	Page 2	CORRESPONDENCE. To the Editor of th&gt;- S' rails Tim-*. I&gt;(*e Sir, An udveri*. inent lii&gt; n_; PprMi.il in tlie lin -8 mgmtd by a native imme'l IsMMHIMiWi bWiimj ioitli cert in acna-ttions trumped ip ujn ,-&lt; n--of the Native S mhnu ol Urn Ommimm* riat Department I ilniik it my...
18620111	Page 2	CHINA NEWS Vh have receited by the Pekin pa- to the 3l~t ultimo, MM* five the fobwing summary of the intelligence h en the Overland Mail.
