Date	Headline
19930101	Up to 6.5% growth this year: PM Goh
19930102	Edusave awards for 4,000
19930103	Malek gets his girl without a tackle
19930103	Woman dies after KK hospital lift stalls
19930103	SM Lee: S'pore will become failed NIE if its people do not venture abroad
19930103	So  you  think  we've  arrived?
19930104	Proposed code of conduct for banks under study by Govt
19930105	Property developer banned from govt tenders
19930105	Business Times: New look from today
19930105	What's new
19930105	Varsities 'must curb costs better to keep fees down'
19930106	EDB helps draw over 3,300 skilled foreigners
19930106	ST Index hits highest closing level in 18 months
19930106	BT's new delivery routes
19930106	First 2 litterbugs sentenced to clean up public areas
19930107	US set to issue Iraq with ultimatum
19930107	Four caught littering at Block 103 Depot Road
19930108	young parents
19930108	Suharto unveils tough new measures in Budget speech
19930109	Businessman of the Year is man behind the Sound Blaster
19930110	Permanent court of appeal to be set up
19930110	Mysterious tropical soil disease kills 24 here
19930110	Parliament sitting
19930110	Hongnbao  avalanche
19930110	GOING GLOBAL  Who  dares,  wins'
19930111	Proposed consumption tax: White Paper out next month
19930112	Open letter urges Patten to drop reform plans
19930113	Iraqis raid Kuwait for third day running
19930113	New panels to help boost staff training
19930113	Creative Technology buys over leading US digital music company
19930114	US to Iraq: We've run out of patience
19930114	Local firm plans to build region's first virtual reality theme park
19930114	Blackout on news from aircraft carrier in Gulf
19930114	127 countries set to sign chemical weapons ban pact
19930115	Bumboat taxis to ply S'pore River
19930116	ON DIALYSIS SINCE AGE 4
19930116	Bush calls strikes on Iraq a success
19930116	Mahathir and MBs not invited to Rulers' Conference
19930116	Market at  highest  in 2½ years
19930116	Polytechnics to offer  1,700 more places this year
19930117	Rulers defer decision on amendments
19930117	BURSTING WITH FESTIVITY
19930117	Iraq defies order on safe flights for UN aircraft, refuses to dismantle police posts
19930117	New campaign to urge offenders to pay composition fines quickly
19930118	Six Malaysian rulers say 'Yes' to amendments
19930118	Allied jets hit Iraqi defence site
19930118	Pavarotti leaves fans hungry for more
19930118	More Japanese children go into fits while playing computer games
19930119	Mahathir: Rulers have no powers to block Bill
19930119	Allies blast Iraqi plant, missile sites
19930119	Bill to ban youths under 18 from having cigarettes in public
19930119	Budget Statement on Feb 26
19930120	Some allies show unease amid new  raids on Iraq
19930120	MPs vote to remove rulers' legal immunity
19930120	HIPPOS EXPOSED
19930120	BG Lee responding well to treatment, says SM
19930121	Clinton to Americans: Help us take strong steps
19930121	Rulers lose  unwritten  privileges
19930121	Yunnan treat for President Wee
19930121	Father arrives home to see his son falling from flat
19930122	Clinton declares 'season of renewal'
19930122	SM: US should position itself to trade with Asia
19930122	US jet fires on Iraqi radar
19930122	S'pore-registered tanker ablaze off Sumatra
19930122	New highs reached on S'pore stock market
19930122	Johor Sultan tells civil servants to shun govt functions
19930122	Countdown to Year of the Rooster
19930123	Helping hand to nurture gung-ho spirit
19930123	A FOWL TO CROW AROUT
19930123	KL 'has ordered passports of rulers' children withdrawn'
19930123	Iraq pledges to continue  ceasefire despite  US attack on radar site
19930123	Clinton's choice for A-G withdrawn
19930125	SM to propose CPF rules be eased further
19930125	Are you not better off now?
19930125	More chances for youths to go to adventure camps abroad
19930125	Dewi jailed for 60 days for  slashing Osmena
19930125	US plane bombs Iraqi guns which fired on patrol in no-fly zone
19930126	Iraq 'could be moving missiles to no-fly zone'
19930126	Striking Cathay staff march through HK
19930126	Rulers to fight  amendment  Bill in court: Paper
19930126	Day ad made it to the front page in China
19930127	Mahathir: No compromise on principles in immunity battle
19930127	Johor prince acquitted of assaulting hockey goalie after M$1,000 settlement
19930128	Up and away!  Soaring feat by young daredevils
19930128	$32 b boost planned for the US
19930128	Better use to be made of police NS men and reservists
19930128	BG Lee responding well to treatment
19930128	Have you left anything behind, like a military tank?
19930128	All-time high, then index slips
19930129	WORD-PERFECT
19930129	S'pore and Indonesia to sign water pact today
19930129	PUB to spend $117 in on water projects this year
19930130	Two new pacts to boost ties
19930130	S'pore stock market hits record high
19930131	Ventures abroad: Panel of advisers named
19930131	Govt may deregulate taxi fares, says Mah
19930131	Consumption  tax
19930201	Israel could let 130 deportees return home
19930201	Train crash kills over 140 in Kenya; 200 missing
19930201	A taste of tradition at Istana tea party
19930201	Diabetes rate among adults almost double that of 1984
19930201	Executive Education & TrainingLEARNING FOR SUCCESS
19930202	Phnom Penh's forces attack Khmer Rouge
19930202	ANXIOUS QUEST
19930202	US Coast Guard searching for crew of ship reported hijacked
19930202	Japanese use satellites to track flow of rubbish
19930202	Study on freeing taxi fares to be given priority: Mah
19930202	ST Index up 24 points to new high
19930203	US may ban  state  purchases from EC
19930203	Consumption tax White Paper out possibly by Monday: Dr Hu
19930203	POLICE DOGS SET ON RIOTING CABBIES
19930203	Chest pains force Patten into hospital for surgery on heart
19930203	EDB outlines 5 key strategies to keep S'pore competitive
19930204	US$31b plan to boost US economy
19930204	German warships for Indonesia
19930204	MT MAYON ERUPTION TOLL CLIMBS TO 36
19930204	HDB upgrading: Work on six neighbourhoods starts from next week
19930204	New taxi firms, more cabs may be allowed under deregulation
19930205	US plans sharper defence cuts
19930205	New Giro checks give users more control
19930205	ON A WING AND A PRAYER
19930205	Russian space mirror sends beam of light across Europe
19930205	Beijing considers ban on letting off firecrackers
19930207	Six companies head for India to recruit professional talent
19930207	GO FLY AN OCTOPUS
19930207	RSAF assigns Super Puma copter to search for missing airplane
19930207	Dropout with an IQ of 135
19930207	Ashleigh Scow says sorry
19930208	Three-year mental health plan unveiled
19930208	1997 HK EMIGRATION SALE...IN SINGAPORE
19930209	IN THE BELLY OF A SUPERTANKER
19930209	HK advisers to Beijing suggest early interim panel
19930210	Govt sets GST at 3%
19930210	Govt fully supports Open U, says Dr Tay
19930211	Cost review chief gives GST assurance
19930211	3% GST rate welcomed but some worry about profiteers
19930211	S'pore wants to be India's partner in progress: BG Yeo
19930211	Ramos to start 3-day visit to S'pore today
19930212	Ramos suggests bilateral body to boost relations
19930212	Rulers agree to proposals to limit immunity
19930213	No major changes to immunity Bill: Mahathir
19930213	HDB flat prices to stay about same as last year's
19930214	GST: Govt to  be tough on traders who raise prices
19930214	Lethal pin in Malay museum collection
19930215	Details to help lower-income out next month
19930215	Govt reviewing import tax on cars to lighten GST impact
19930216	Gen Try bids farewell to govt, SAF officials
19930216	Pay rise for nurses in govt service
19930217	Patten silent on when reform Bills will go public
19930217	Compulsory testing detects at least seven foreign workers with Aids virus
19930217	Budget statement on Feb 26
19930218	Japan seeking faster Gatt aid under new orders
19930219	Higher govt grants to help lower-income with increases in charges
19930220	Not more than 3% hike after GST: Fair Price
19930220	POSBank draws postponed pending probe
19930221	NTUC Comfort to  corporatise to help expansion
19930221	SAF EXERCISES
19930222	GST: 90% of low-income group will be cushioned
19930222	Kohl arriving tonight
19930222	First non-white ministers in South African Cabinet
19930222	21 died from infection picked up in hospital
19930222	FOR THE  SAKE OF THE CHILDREN
19930223	Chancellor Kohl arrives for three-day visit
19930223	O-level results today
19930224	Prime land m Bukit Timah, Hillview for private homes
19930224	O-Level results: Independent schools in league of their own
19930224	The written word on career guidance
19930224	Further reading
19930225	'93 economy expected to fare even better
19930226	Pro-business Budget expected today
19930226	10 Bills to be introduced in Parliament
19930226	1,680.96
19930227	Something for everyone
19930227	Budget offers tax breaks for local businessmen game to venture abroad
19930228	Take advantage of new CPF top-up scheme: Boon Heng
19930301	Try gets Golkar backing as next V-P
19930301	No more slaughtering of poultry at wet markets from today
19930302	Jakarta policies have driven economic boom'
19930302	NTUC backs Govt's package to offset GST
19930303	Patten open to China's terms for talks on HK
19930303	'Exempt Class C and B2 wards' call to Dr Hu
19930303	The briefing no one dared be late for
19930303	Don't cut medical benefits, NTUC warns bosses
19930304	No GST exemption for medical services
19930304	No reason to worry about profiteering: Dr Hu
19930304	CPF grant can be used for all approved schemes
19930304	Dutch farmers make pig deal about marriage
19930304	Five-part ST today
19930304	Release of A-level results
19930304	Sheer numbers boost Aussie hopes
19930304	PRIZE MONEY
19930304	Republic's hopes rest on Poh and Murugiah
19930305	Beijing slams expansionary  HK Budget
19930305	Govt may cut employers' CPF rate for older workers
19930305	MFN: No conditions, China warns US
19930305	White House shaken by blasts two blocks away
19930307	That's what man paid for not settling 39 parking fines on time
19930308	Patten 'to quit if his reforms are sabotaged'
19930308	Overseas ventures panel to consider financial measures
19930308	Great prospects for ties between Russia and Asia-Pacific: PM Goh
19930309	Your throne's at stake, Kelantan Sultan warned
19930309	Supermodel inspires design that really goes out on a limb
19930309	GST and helping S'pore Inc go regional dominate Budget debate
19930309	I'm willing to be President despite my age: Suharto
19930310	PM: A bigger stake for all through CPF top-up
19930310	HOW THE SCHEME WORKS
19930310	Bill proposes stiffer penalties for loan sharks, including cane and bigger fines
19930310	Changes to remove rulers' immunity passed by big margin
19930310	Sultan's right to rule challenged
19930310	Better trained personnel needed in travel trade
19930311	Residents to pay less for flats upgrading
19930312	No income tax for 74% of Singaporeans
19930312	Eight Govt-linked companies to be floated on bourse
19930312	President Wee and PM Goh send congrats
19930312	Life!
19930312	CLASSIFIED SECTION
19930313	HDB mortgage loans up
19930313	Patten gazettes Bill, sends stocks plunging
19930314	Meet quadruplets Alois, Bryce, Cosmas and Dion
19930314	Beijing slams Patten for gazetting controversial political reform Bill
19930315	Li Peng: No deal on Patten's reforms
19930315	Double tragedy for Malaysian dragon boat team in Melbourne
19930315	More women 'have disease which makes them infertile'
19930315	Who's afraid of  OLD AGE ?
19930316	ST Index slips 22.07 points
19930316	Govt relaxes rules for CPF investments
19930317	Singapore extremely concerned
19930318	24 new faces in Suharto's Cabinet for renewal
19930319	ST comes in 6 parts today
