Date	Headline
19790101	Top priority for Labour College
19790101	ALL QUIET IN TAIPEH
19790101	Proverbial anecdotes  To catch a cub, one must enter the den
19790101	Chinese without tears
19790101	Bookshelf  A journal for Chinese teachers
19790101	Fun with Chinese Characters
19790102	VICE-HEADS FOR SCHOOLS
19790102	Restaurant and lounge burn down
19790102	Extremes yes, but they meet
19790103	EXODUS FROM RIOT-TORN IRAN
19790103	Yes sir! It's my first day in school
19790103	Future of communism
19790103	KING'S SISTER ACCUSED
19790103	Khmers under massive invasion
19790103	Baby girl snatched  from hospital
19790103	Planes forced down
19790103	Groundnut's philosophy — be useful but don't show off
19790103	Humour  Holding hands
19790103	Quotations
19790103	Fun with chinese characters
19790103	Chinese  Without  Tears
19790103	Simplified characters
19790104	Full-day  school  for some  in 1980
19790104	The Straits Times SECTION TWO
19790104	From rags to riches — the Chinese food way
19790104	Kenya lagging in battle against wildlife poaching
19790104	Chinese students back in US colleges
19790105	Plan to  bring  night  life back  to city
19790105	Simplified  characters
19790105	Study history through Chinese figurines
19790105	Chinese  Without  Tears
19790105	Fun with Chinese Characters
19790105	Beat the bush and frighten the snakes
19790106	Top resolutions for the New Year
19790106	Sunday night fever is with us again...
19790106	The stars and you...
19790106	When the Mekong comes to the Mississippi...
19790106	Other highlights
19790106	In Sports Nation
19790106	49 killed
19790106	Pol Pot launches guerilla warfare
19790106	Rokhaiya achieves a first  for  partially blind...
19790106	GOH TO ATTEND U.S. SEMINAR
19790106	5 by-elections this month?
19790106	Barber s 'Story' is good inflight reading
19790106	Diving for  dollars to  pay for school
19790107	SIX MPs TO STEP DOWN
19790107	Four kids slashed to death...
19790107	IN?
19790107	Devan heads likelies list...
19790107	CJ: Crack down on lawyers who overcharge
19790107	LKY vs JB judgment
19790107	'Thai help sought for airlift plan'
19790107	2 sections
19790107	3-1...SO Karpov's camp gets a three-layer cake
19790108	Common  front by  Asean
19790108	Murder of four children: Two women  questioned
19790108	5-0 start far S'pore
19790108	Devan:  I'll  stay  with  unions
19790108	LATEST  Full alert
19790108	GIRL DIVERS
19790108	Fun with Chinese Characters
19790108	Chinese Without  Tears
19790108	Strong affection for each other
19790108	Quotations
19790109	13 VIETNAM DIVISIONS LEADING WAR
19790109	Quote
19790109	Quote
19790109	Yard man dies in barge blast
19790109	Manila disturbed by  flow of shoppers  to Hongkong
19790109	The Philippines has more to lose, says HK
19790110	JEYA TO PAY  $130,000  DAMAGES
19790110	Howe likely  to stand  for  election
19790110	Japan  snubs  new  regime
19790110	A good training ground for broadcasting talents
19790110	Simplified characters
19790110	chinese without tears
19790110	Fun with Chinese Characters
19790111	BILINGUALISM MUST GO ON
19790111	8 Reds killed in clash
19790111	Three opposition  parties to fight  by-elections
19790111	Teh is another likely  choice for elections
19790111	Boat seized
19790111	PM: Not until  schools have  done it
19790111	Motorists gain in quarrel over petrol
19790111	New use for drive-in cinema
19790111	Health is wealth for big US firms
19790111	A mass killer's double life and dual personality
19790112	Election candidate Dr Koh: I'm a nice fellow...
19790112	Asean will  pass  the test,  says Raja
19790112	Slain children had 20 wounds each
19790112	Proof  of  PSLE, GCE link
19790112	Studying with the aid of fireflies and snow
19790112	Encounters
19790112	The basketball star who gets to go around
19790112	Fun with Chinese Characters
19790112	CHINESE  without tears
19790113	A hundred years ago in Singapore
19790113	and looking ahead 10 years
19790113	Horror slayings special post-mortem
19790113	Behind the scenes at the big show
19790113	Picture of the Year -readers' choice
19790113	Other highlights
19790113	M-Cup interview
19790113	No personal attacks warning
19790113	DUTY-FREE CHINATAIWAN TRADE
19790113	rAsean  ministers agree on  options
19790113	Moving  farewell  speech  by  Baptist
19790113	46 FREED BY MOB
19790113	Study of '78  KL polls is  not for the layman
19790114	QUIT KAMPUCHEA CALL BY ASEAN
19790114	Banker named as PAP candidate
19790114	QUOTE
19790114	Viets protest
19790114	'Make it easier far mums to work'
19790114	Two sections today
19790114	So Asean is not a paper tiger...
19790114	Pick of the luxury  cars
19790114	After eight gruelling days of rallying...
19790115	MORE SUPPORT FOR ASEAN CALL
19790115	100 questioned  in police hunt  for killer
19790115	Portugal ties with China
19790115	Singapore win 2-0
19790115	Make an effort to speak correct Mandarin
19790115	Simplified characters
19790116	WARNING TO FRASER GOVT
19790116	Ex-HDB chief named as PAP's 6th candidate
19790116	Cultural Foundation gets $27,000 more
19790116	Chai: Easier to take  soft  option
19790116	Japanese are  learning the hard way
19790116	Asean is still near and dear to British executives
19790118	Police open fire on mob
19790118	QUAKE  KILLS  1,000  IN IRAN
19790118	Drugs haul
19790118	MAN FOUND DEAD
19790118	Can collectors helping to boost imports of foreign beer
19790118	The town that's rarely hit by recession
19790119	U.S. WARNS RUSSIA, VIETS
19790119	New malaria strain found
19790119	Harbans Singh  is  UPF's  man  for  election
19790119	Revised code of conduct for ministers
19790119	Aussies  urged  to delay  new air  service
19790119	LATEST  FOUND DEAD AT FLATS
19790119	Proverbial anecdotes  Concentration—the essence of learning Encounters'
19790119	Encounters
19790119	Chinese sayings
19790119	"32 years as ""zuoban"" or an association's secretary"
19790119	Chinese without tears
19790120	What your MP can do for you
19790120	Two specials on Year of the Child
19790120	Thrills and spills of the Brunei match
19790120	Hair today—the Sri Dewa story
19790120	To keep the civil service on its toes
19790120	Open letter to broadcasting chief
19790120	Raja warns of new kind of imperialism
19790121	$44 mil scheme to make certain it will never be as bad as this again
19790121	BEATING THE BIG FLOODS
19790121	Top of the pop-offs...
19790121	QUOTE
19790121	Two sections today
19790121	Judge raps the  'chit-chat in. court'  lawyers...
19790121	Stalemate can lead to 'falling apart' of Aussie-Asean ties
19790122	Barisan  pulls  out of  the race
19790122	Carter rating
19790122	WE MUST HAVE  AN OPPOSITION:  INDEPENDENT
19790122	Butterfly Boy's Cup
19790122	ON HUNGER STRIKE
19790122	Intelligent boys may not necessarily become wise men
19790122	Chinese without tears
19790122	Fun with Chinege Chavacters
19790123	N-DAY JAN 31, POLLING FEB 10
19790123	Bullet in plane shock
19790124	WHEN 'NO' (to keep his secret) IS NO OFFENCE
19790124	Seven-years dream  comes true for mother from China
19790124	Sabah fans run riot
19790124	The weather
19790124	Border 'calm' says  Thai PM
19790124	The cowboy scholar who hangs his books on the horn...
19790124	Fun with Chinese characters
19790124	Chinese without tears
19790124	NEW YEAR'S SACRIFICE
19790125	Kissinger blames US for Shah's downfall
19790125	Hit-and-run victim
19790125	New threat to poison  Israeli oranges
19790125	United Front to  PAP: Let's have  a TV debate
19790125	Cholera toll
19790125	Raja: 'New story in ties with Canberra from Feb 1'
19790125	Fire at Expo
19790125	The paradox  that is Washington
19790125	LIFE in  AMERICA
19790126	CNB FORMS  3 TASK FORCES
19790126	The big punch-up at KK stadium
19790126	Spring scrolls are still popular Chinese New Year decorations
19790126	fUN with chings Changes
19790127	Chinese New Year specials
19790127	The day Raffles came ashore...
19790127	Game everyone can play
19790127	China 100 years ago—a photo-special
19790127	Other highlights
19790127	AT LAST, THE GREEN LIGHT!
19790127	'10,000 dead'
19790127	Have fun, but take  Care...
19790127	Top up today
19790127	Life in the Legion no pie in the sky
19790128	Telecoms,  to  expand in a big  way
19790128	A TIME TO REMEMBER
19790128	QUOTE
19790128	US$ cheques
19790128	Goodwill for the boss...
19790128	Wishing our  readers  a Happy and  Prosperous  New Year...
19790128	Those drinking drivers...
19790128	Party meet
19790128	Peacock to meet Raja for air talks
19790130	RAJA SLAMS AUSSIE POLICY
19790130	Peacock :  I'll  report depth of  concern
19790130	A new  snag  to M-E talks
19790130	S'poreans musn't become 'boat people'  —SAYS RAJA
19790131	GOH TO TAKE OVER EDUCATION
19790131	At least  one  walkover likely for PAP
19790131	Raja  now  more  hopeful
19790131	Chinese without tears
19790131	Towards a peaceful year
19790131	Fun with Chinese Character
19790201	TWO PAP MEN IN UNOPPOSED
19790201	US tax bill  a break for the rich
19790201	New Zealand's  ladies believe  in 'booti-ful'  marching
19790202	'MATCHMAKING' MISSION TO U.S.
19790202	LEAFLETS CAMPAIGN
19790202	More house  to house  visits, fewer  rallies
19790202	$20,000 donation
19790202	British official  due  here for  talks
19790202	Chinese without tears
19790202	Fun with the chines characters
19790202	A child prodigy's devotion to writing
19790202	Encounters
19790202	Quotations
19790202	The man who cooks for state banquets
19790203	The Way We Were-win $100
19790203	Over-dependence on counsellors
19790203	The return of the solid tyre
19790203	How to stop the brain drain
19790203	Nightbirds of  the graveyard shift
19790203	Other highlights
19790203	In Sports Nation
19790203	7 Red students shot dead
19790203	Dry January  only 74 mm  of rain
19790203	Japan's bamboo  workers are  a dying breed
19790203	Times are changing in China's universities
19790204	Devan plan to cut down industrial strife: See Page 5
19790204	— Send us your best old pictures-and you could win $100
19790204	Cultural fund  donations hit
19790204	AIRPORT ALERT FOR HIJACKERS
19790205	Oil accord  first before M-E peace pact
19790205	197 detained
19790205	leap will cost tourist trade '$100m a year'
19790205	Grasp the correct tones of Peking Mandarin
19790205	BOOKS AND MAN
19790205	Chinese without tears
19790205	Fun With Chinese Characters
19790206	Air talks at  ministerial level?
19790206	4 second echelon leaders get key party jobs
19790206	Big trouble for small experiment
19790206	Man who rules a 'concentration camp in Africa'
19790207	Singapore Cultural Foundation gets its own logo
19790207	QANTAS  OFFERS  TWO  DEALS
19790207	Dial a code number plan to set off burglar alarm
19790207	IRANIAN AIR BASE ALERT
19790207	Good translation must be faithful, effective and elegant
19790207	Chinese  without  tears
19790207	Simplified Characters
19790207	Fun with Chinese Characters
19790208	S'pore now third largest port
19790208	Another $225,000 for Cultural Foundation
19790208	Diamond swindle:  Two  women  quizzed
19790208	ARMY GUARDS NEW PARTY
19790208	The world's growing pains
19790208	Who's who in game of economic growth
19790209	Lee: Wiser  not to  think Hanoi will stop at Kampuchea
19790209	Nurses join big strike in London
19790209	Super petrol  pump
19790209	Council locked out by  strikers
19790209	The diligence m learning of two ancient Chinese scholars
19790209	Fun with chinese characters
19790209	Classroom essay topics are very dull for him
19790210	First-borns and the brains factor
19790210	The selling of St Valentine's Day
19790210	Readers build their dream towns
19790210	A game for you to cut and keep
19790210	Sentry robbed of gun—man held
19790210	Lawyer arrested, then out on bail
19790210	All eyes  on  victory margin
19790210	ELECTION RESULTS  ON RADIO AND TV
19790210	Mao, cigarettes  and the Third World
19790211	ALL THE WAY
19790211	Teen girls on rob charge
19790211	Devan leads the PAP pack as he pulls in 84 pc...
19790212	Handicaps collect for another cause
19790212	Top job  in govt  goes  to Sim
19790212	A friend in need is a friend indeed
19790212	Humour  Bigger Plates
19790212	Adoption
19790212	Simplified characters
19790212	Fun with Chinese Chracters
19790213	MORE CHANGES IN RESHUFFLE  Eng Liang  resigns
19790213	Another $20,000 for Cultural Foundation
19790213	Raja hits  out at  Western  union  leaders
19790213	INSIDE:
19790213	Science takes new look at faith healing
19790213	Profits soar as Egypt's falconers ride on bird boom
19790214	MAS go-slow—18 held
19790214	Extra landing rights?
19790214	I love old people
19790214	Quotations
19790214	Profound friendship and mutual respect
19790214	Fun with chinese characters
19790215	Teenage gang smashed
19790215	SlA's  special  low  fares
