Date	Headline
19910101	PM: S'pore must be united and trim
19910101	Wishful thinking
19910101	SlOO.OOO LAUGH:
19910101	25th Anniversary Fund hits a whopping $176m
19910102	Panel to tackle aged problem
19910102	HER WORLD
19910102	Lifetime of words worth
19910102	Many caught in free-petrol traffic jams
19910102	Life!
19910103	Parliament expected to pass Elected President Bill today
19910104	Elected President Bill passed into law
19910104	White Paper on Shared Values presented
19910104	PM Goh to visit Jakarta next week
19910104	Paramount 'courting Japanese buyers for its pictures division'
19910104	ADVICE FOR S POREANS WHO NEED TO REMAIN IN GULF
19910105	Changes to legal  profession proposed
19910105	Life!
19910105	112 pages today
19910105	BP and Shell offer unleaded petrol from this weekend
19910105	Goei  on  the go
19910105	Properties showcased under one roof
19910106	Govt proposes 5 Shared Values
19910106	Unleaded petrol makes its debut in Singapore
19910107	Three-quarter tank rule from Feb 4
19910107	200,000 attend cremation ceremony of Chief Abbot
19910107	The ugly Chinaman
19910108	Geneva is Iraq's last chance: US
19910108	Ruling 'won't  affect number of S'poreans going  to Malaysia'
19910108	Daim wants to quit, but Mahathir wants him to stay
19910108	Motorists say they will continue to drive to Johor
19910108	Tackling a king's ransom
19910108	A showcase project
19910108	One of the best schemes ever, says Univac managing director
19910108	Colour separation the high-tech way
19910109	Man crushed to death by lorry
19910109	PM leaves today for a two-day visit to Jakarta
19910109	Life!
19910109	Please, I  want to go to school
19910110	Suharto 'should stay as leader for as long as possible'
19910110	Gifted ideas
19910111	Suharto suggests having pig farms on another Riau island
19910111	SAF to use MRT trains in weekend mobilisation exercise
19910111	Reach  for a  star
19910112	S'pore offers to help expand grouping proposal
19910112	High Court finds  AWSJ guilty of contempt
19910112	Days of being  wild
19910113	No Asia Magazine today
19910115	Self and society: Concern over emphasis to get right balance
19910115	Ideals will be included in civics lessons soon
19910115	Aussies out; Shahar quits
19910116	2 Shared Values amended to make them more acceptable
19910116	Two into one will go
19910117	Poems of  solidity
19910118	Allied warplanes rule Iraqi skies
19910118	S'pore  sends  medical  team to  Saudi  Arabia
19910118	ST Index surges 62 pts in biggest one-day gain in over two years
19910118	The China scholar
19910119	The Gulf War: Day 2
19910120	The Gulf War: Day 3
19910120	WAR  UPDATE
19910121	WAR  UPDATE
19910121	Allied forces shift focus
19910121	SAF team in Saudi Arabia
19910121	Can't stop, got to slog
19910122	Iraqi missile raid on Riyadh foiled
19910123	WAR  UPDATE
19910124	Ground forces exchange fire
19910124	More than Mozart
19910125	PM postpones visits to 3 Asean nations
19910126	Israel hit again
19910126	Smile of death
19910127	80% of Singaporeans support use of force against Iraq
19910127	Boy, 10, hurt in bid to save mum and sister from armed man
19910127	Baghdad under fire!
19910127	Langer heads list of leading pros set to do battle at Bukit
19910127	Sponsors happy with tourney's success
19910127	Teams for World Qualifying round
19910127	Tradition of staging finals at St Andrews the main draw
19910127	BLESSINGS
19910128	Police ban import, use of electrical firecrackers
19910128	Mah: Don't let the Gulf war divide the people
19910129	THROUGH THE 'EYES' OF A BOMB...
19910129	It's not a religious war: Bush
19910129	Colonel predicts  civil war  in Soviet Union
19910129	Outflow of crude into Gulf staunched
19910129	Parliament to be  prorogued today
19910131	I'm not a bad girl, I just look like one
19910131	The new balance of  terror
19910131	Kuwait and international security
19910131	The Gulf War and the Malay world
19910202	Marines 'may have been killed by friendly fire'
19910202	How to get ahead in advertising
19910203	SAF team in Saudi Arabia keeps busy with drills and duties
19910203	Spore 'will  consider  scrapping  ISA if  KL does so'
19910203	SPRING
19910204	Three-quarter tank rule and dearer petrol from today
19910204	PM Goh's trip to Johor dam now a state visit
19910205	Waves of bombers continue raids on Iraq
19910205	Unspoilt Pulau Übin
19910206	Life!
19910206	Allan Ng's jail sentence reduced to $50,000 fine
19910207	Marines set for beach assault
19910207	Thaipusam is not a carnival
19910208	Draw up a plan for progress, PM urges Malays
19910208	Bid to kill the Cabinet, says PM Major; buildings damaged, but no serious injuries
19910208	US vision for post-war Iraq
19910208	Splendour in the Sahara
19910208	Bombardment of Iraqi positions continues
19910208	Splendour in the Sahara
19910209	Reservist body suggests lower tax rate for citizens
19910209	Limiting US casualties a priority
19910210	Anwar to be new Finance Minister in KL Cabinet reshuffle
19910210	US sees early  end to ground  battle
19910210	Assassinate Saddam, urges Syrian paper
19910210	Dazzling start to Lunar New Year festivities
19910210	Satellite dishes: Temporary licences for banks
19910211	S'pore will buy  water from Pahang 'as soon as it is available'
19910211	Life!
19910211	Buddhist lecturer is new Chief Abbot
19910212	Throwing new light on Raffles
19910212	Ex-university don gets top education institute job
19910212	Dance of the yellow earth
19910213	Bush decides to delay ground war
19910213	Boost for  pre-school  education
19910213	Live CNN news broadcasts for a month from today
19910213	The cement garden
19910214	Local consortium wins bid to develop CHIJ site
19910214	Life!
19910215	PM: Pull together to overcome impact of war
19910215	TRADITIONAL CELEBRATION
19910217	Allies reject Iraqi offer but talks go on
19910217	Replaying fond memories from their childhood
19910218	Iraq: No strings attached to offer
19910218	Keep major festivals and rituals alive, Chinese groups urged
19910219	Two men fined $1,000 each for having fireworks
19910219	Life!
19910219	The girl  who  walked  two  continents
19910220	Singapore warns against face-saving moves
19910220	Car in reverse gear goes over hood of parked van
19910220	Amy shoots from the hip
19910221	Education changes proposed to help weaker pupils
19910221	Hot legs
19910221	Career  special
19910221	World awaits Saddam's reply
19910221	Trader charged with cheating bank over $97m share applications
19910221	HOT LEGS
19910221	Step into the working world with us
19910222	Defiant Saddam:  We fight on
19910222	President to open new session of Parliament today
19910222	Centrepoint robbery and stabbing: Four suspects held
19910222	Life!
19910223	Iraq gets 24 hours to begin pullout
19910223	President: All have a stake in S'pore
19910224	Bush OKs land war
19910224	Singapore 2015, here  we come
19910224	Cheque  mate on Valentine's
19910224	Cheney: War will be over soon
19910226	SGH carries  out its  second  successful  heart  transplant
19910227	Iraq orders pullout, but US says war will go on
19910227	Art of  cinema  comfort
19910227	Parliament debate  focuses on  style of Government
19910228	Iraq's new offer still falls short, says US
19910228	Another look at the Gulf war
19910228	Parliament debates ways to maintain racial harmony
19910301	Filipino minstrels
19910301	S'poreans must decide on the kind of society they want, says BG Yeo
19910301	Singapore welcomes cessation of all hostilities
19910302	Shenton Way Budget
19910302	Budget 91: At a glance
19910302	Allies and Iraqis to hold truce talks 'today'
19910302	AN EVEN BRIGHTER. LIVELIER GO MAGAZINE
19910302	Incentives to spur business ventures abroad
19910302	Consumption tax in the offing
19910302	Lacklustre Budget for the individual despite 5% rebate
19910302	Tax break to attract big boys to drop anchor in Singapore
19910302	Special tax perks for citizens?
19910302	WHAT'S INSIDE
19910302	THE BUDGET TEAM
19910303	UN to vote on ceasefire terms for Iraq today
19910303	PM Goh gets a floral welcome in Bali
19910303	Former Thai envoy named caretaker Prime Minister
19910303	Radio daze
19910304	Govt will consider adding handicapped to Edusave scheme
19910304	THE SPECIALISTS
19910304	Enigmatic Kirstie
19910304	Singapore wishes Thailand well following coup: Kan Seng
19910304	GREATER BYTE
19910305	New co-operation style in Asean: PM
19910305	A-level results today
19910305	Baghdad releases 10 allied PoWs, including woman
19910305	14 immigration officers to be charged with corruption
19910305	Tay: My Mr Chips
19910306	Life!
19910306	How to keep security balance in Gulf: Mr Lee
19910306	Iraq releases all remaining prisoners
19910306	Magic and mayhem
19910307	More places for poly,  VITB grads
19910307	Ubin elephant caught
19910308	Marina Village man's help sought in fraud probe
19910308	Singapore  girl
19910309	Heroes' welcome for troops
19910309	36-metre-high Merlion Tower will be focal point of Sentosa
19910309	Delta Ave accident boy dies;  girl, 3,  gets his liver
19910309	Wolves and camels
19910310	PM Goh offers $lOrn to help Malay projects
19910310	Marina Village developer arrested under Companies Act
19910311	Family sex and politics
19910311	Parking device sent to URA for review
19910311	Perks for reservists 'within a few months'
19910311	Sex, lies and murder
19910312	The Straits Times
19910312	Vocational training:  $250m boost
19910312	MPs praise 'prudent' Budget
19910312	Lizard may have caused deaths of 40,000 fishes
19910312	Shawn takes off
19910312	Psst, I'm not really flying
19910313	Economic growth on target, says Dr Hu
19910313	TWIN ACHIEVEMENT
19910313	Share trading by directors: New curbs expected soon
19910314	Foreign labour Good news for employers
19910314	More NCMPs after next election: PM Goh
19910314	New half-hourly  coupons  from May 2
19910314	The power  and the family
19910315	Shorter waiting time for HDB flats
19910315	Malacca gets $158m to solve water problem
19910315	Genuine masters
19910315	Dr Yeo on sport
19910316	All about Oscar
19910316	Time-based phone rates may be reduced
19910316	Military officers make up bulk of Thai assembly
19910316	Ex-Mr Taxman speaks
19910317	Give to  education fund, Indians urged
19910317	'Sally looked after me for 40 years, now it's my turn to care for her'
