Date	Headline
19850101	Our economy will slow down this year — PM
19850101	Three  new  MPs to  become  Ministers  of State
19850101	The new Cabinet
19850101	People will have  the final say  — Chok Tong
19850101	Section  Two
19850101	The year we came of age ...
19850101	Speaking their minds out loud
19850101	Smart kids start with kanji ?
19850102	'A striker who has good wings'
19850102	Hurrah for '85
19850102	Support the  team that  will take you  into new era
19850102	86,000 Filipino  workers  retrenched  last year
19850102	Top stories of the year
19850102	A world of contrasts
19850102	What was said
19850102	Help front Teacher Chang
19850103	The Parliament Pd like to see
19850103	Dr Tan: Education  my top priority
19850103	Index drops
19850103	Signs of changing times  Sleek and simple new signs
19850103	The capital of Chinese art
19850103	Gents in this book  of  changes
19850104	Cheats  on  the buses
19850104	Mindef appoints  colonel  to deal with the  public
19850104	Home buyers had a good year
19850104	Housing and Development Board
19850104	Private housing
19850104	Commercial
19850104	Construction industry
19850104	From quantity to quality
19850104	Talent for two
19850104	Swordfights and spooks
19850105	WP says  'no' to  non-elected  seat offer
19850105	Meet the new Berita Minggu
19850105	Property sale safeguards
19850105	PAP task force  set up to study  poll results
19850105	NORWAY GETS POSITIVE REPLY
19850105	'Ex-BMF  director  selling  off shares'
19850105	The charisma of near despair
19850105	On friendship and mortality
19850106	Our deal  with  the PM
19850106	Legal splendour
19850106	Fake claims probe at  Telecoms
19850106	A long and winding road
19850106	Your choice  of  diversions
19850106	WHAT SOME READERS PICKED
19850107	Stat board to  help Malays  needed: Mattar
19850107	Hotel tests water for cruise down Singapore River
19850107	Staging  of the Coffee Shop
19850108	Dollar's new high
19850108	Govt to offer  non-elected  seat to SUF  chairman
19850108	54 company directors fined for  breaching Act
19850108	Keep-fit herbalist of Hillview
19850108	'Security' for sale
19850109	Ampil falls to Viet troops
19850109	Six ministers of  state sworn  into office
19850109	Regan and  Baker swop jobs
19850109	A whole new approach to driving tests
19850109	Basic driving theory test
19850109	Final driving theory test
19850110	$1.8 b worth of new projects approved
19850110	Market at 12-month low
19850110	Fall of Ampil a tactical defeat, says Singapore
19850110	First underground road interchange at the East Coast
19850110	In the steps o£ the Silk Route
19850110	Titles of episodes
