Date	Headline
19610101	3377796  wins  that  $375,000
19610101	PREMIERS CALL ON PEOPLE TO WORK HARD IN NEW YEAR
19610101	Rest of the world
19610101	PAP warns against  danger of 'Chinese  city' surrounded by  Malaysian people
19610101	Date for Ong probe team
19610101	Che Yusof  'State confident of future'
19610101	LATEST
19610101	Page 1 Miscellaneous Column 1
19610102	LAOS: U.S. WARNING
19610102	They fled from China in junk
19610102	Mobutu skymen fly to trouble spots
19610102	PAP: Sweeping  changes in  party set-up
19610102	U.S. TYRE PRODUCTION  HITS A NEW HIGH
19610102	Raiders cut off heads
19610102	100 arrested
19610102	LATEST
19610103	TENGKU FOR CONGO
19610103	Do your bit for Malayan  troops in Congo
19610103	Jail term for 3 leaders
19610103	LORRY OVERTURNS—38 WORKERS HURT
19610103	OFF TO A GOOD START AT THE NEW YEAR SEA SPORTS
19610104	KING HONOURS 158
19610104	U.S. told to cut staff
19610104	92 get  the  Ahli  Mangku  Negara
19610104	25 DIE AS PLANE CRASHES IN FOG
19610104	Chua named to  head inquiry!!
19610104	LATEST
19610105	KING IS INSTALLED
19610105	Pledge of service to the entire nation
19610105	Three die in A-station
19610105	LATEST
19610106	LOCAL POLLS AGAIN
19610106	Voting in April  to  June
19610106	SWISS NEW  YEAR FOR  SIRIKIT
19610106	Menderes guilty
19610106	Confusion over key Laos town
19610106	LATEST
19610106	Now he's a refugee
19610107	First  act:  Aid for  Congo  men
19610107	TENGKU PUTS OFF HIS CONGO VISIT
19610107	NEGRI RULER  TO LEAVE  FOR. MEDICAL TREATMENT  IN U.S.
19610107	Missing plane
19610107	160 ft. gash in $1 mil, bridge
19610107	Planter and 3  labourers  lost in jungle  -are saved
19610107	LATEST
19610108	THE AFRICAN CHARTER  OF CASABLANCA
19610108	NEW $1,200 MIL RUSSIAN LOAN FOR INDONESIA
19610108	JACKIE  BEST  DRESSED  WOMAN'
19610108	U.K. envoy back to Laos
19610108	Missing boy  drowns:  Body found
19610108	Anti-Church drive
19610108	Varsity told to admit Negroes
19610108	Divorce for film stars
19610108	Smuggling ring smashed
19610108	LATEST
19610109	Spy Sheikh curses after death sentence passed
19610109	33-year strike called off
19610109	A-BASES IN  E. AFRICA,  RED RADIO  CHARGES
19610109	A strange death...
19610109	190aday  starve  to death
19610109	LATEST
19610110	NOW S. AFRICAN  MALAYS CAN SETTLE IN FED.
19610110	Culture pact
19610110	KING SIGHTS A  TARGET AT POLICE DEPOT
19610110	Seato council
19610110	Cheer Fund is  near  $3,000  mark
19610110	RULER OFF  TO UNITED  STATES FOR  TREATMENT
19610110	Britain to cut forces in Malaya
19610110	Hari Raya cakes for the Congo
19610110	EX-HEAD  PILOT  FALLS TO DEATH
19610110	LATEST
19610111	KATANGA CARVE-UP
19610111	FOR $10—YOUR NAME ON THIS FOOD GIFT
19610111	No decision on troops
19610111	Press protest
19610111	Clerks go on lunchtime fast
19610111	'Soviets  in Laos'  —then a  denial
19610111	LATEST
19610112	SMASHED! A plot for race war
19610112	KATANGA'S FATE IN ARMY HANDS...
19610112	Church attacked
19610112	Schools are  flooded, so children get holiday
19610112	Tengku $150  in record  day for the  Cheer Fund
19610112	Fire kills 3  Hong Kong  children
19610112	GIRL  (I can't swim)  TRIES  TO SAVE  SISTER
19610112	LATEST
19610113	Airport strike
19610113	Three raids crushed the bloodshed plot
19610113	SANDYS IN MALAYA FOR  TOP-LEVEL DISCUSSIONS
19610113	Fighters go in
19610113	WOMEN AT  SOCCER  TO BOOST  THE FUND
19610113	LATEST
19610114	CONGO: U.N. WARNS
19610114	Two warships collide
19610114	2 killed by grenade
19610114	Floods, slides close roads
19610114	LATEST
19610115	Brando  and new  leading  lady-Tarita
19610115	Cheer  Fund  passes  $9,000
19610115	Health Minister back from U.K.
19610115	Joint agricultural board
19610115	Kennedy's envoy
19610115	VALERIE HOBSON  IN SINGAPORE
19610115	Negri ruler off to New York
19610115	Trains hit truck
19610115	8 held  in  swoop
19610115	Accord on new  betting scheme
19610115	LATEST
19610116	ACCORD AT 'SUMMIT'
19610116	Floods: 100 held ud 2 days
19610116	Now bigger  parcels for men in  the Congo
19610116	MAN DIES,  2 HURT IN  MORNING  BRAWL
19610116	LATEST
19610117	KIDNAPPED MAN RESCUED
19610117	7 detained for questioning
19610117	Straight down the fairway—Tory drives as Sandys, Tengku watch
19610117	Valuable talks with the Tengku, says Sandys
19610117	CHEER FUND  FOR CONGO  MEN PASSES  THE $13,000  MARK
19610117	Johore  Bahru  industry  plan
19610117	LATEST
19610118	Floods hit Jakarta
19610118	Ong: Promise by counsel to have him appear
19610118	Formby ill
19610118	Not for them...
19610118	$2,300 MORE FOR CHEER FUND
19610118	Manila report  baffles officials
19610118	LATEST
19610119	MEDAL FOR  SPECIAL  FORCE  MEMBERS
19610119	$2,000  for fund  biggest  yet
19610119	Floods: Girl of 19  drowns
19610119	LATEST
19610120	'NO PENALTY' PLEDGE
19610120	Dooley,  the  'Jungle Doctor,' is dead
19610120	Union man  free after  four years
19610120	Tugboat strike
19610120	KENNEDY  takes over  today
19610120	Bhumibol'sguest
19610120	TENGKU, GARCIA TO MEET ON S-E ASIA PROBLEMS
19610120	$2,500 FROM  KING, RULERS,  GOVERNORS
19610120	LATEST
19610121	Ong accused: You're  going slow
19610121	Queen flies to India
19610121	BOMBER  BLOWS UP: FIVE DEAD
19610121	EX-PoW GIVES PENSION TO CONGO
19610121	STRELKA  GIVES  BIRTH TO SIX PUPS
19610121	13th floor  death  fall
19610121	LATEST
19610122	Runaway  hero:  Back to school
19610122	5 YEAR TRADE PACT
19610122	16th ARTIS  ARREST  IN STATE
19610122	Six killed in two bomb blasts
19610122	Malaya greets new President
19610122	Memorial services
19610122	LATEST
19610123	Queen arrives at New Delhi
19610123	Man wounded as police fire
19610123	Posts for 'man in space' plan
19610123	Korea branch
19610123	Elephant  rides  for Queen and Philip
19610123	$4,000 haul  as they were asleep
19610123	U.N. Milk plant
19610123	LATEST
19610124	ONG's LIES—by LEE
19610124	GARCIA  WILL  HONOUR  THE KING
19610124	Royal worker
19610124	Three top union  men: Back Govt. in by-election
19610124	Crushed to death
19610124	LATEST
19610125	Hull new British army  chief:  It's official!
19610125	A-bomb plane crashes
19610125	I didn't allege nepotism, Ong tells inquiry
19610125	Jet planes for Ghana
19610125	LATEST
19610126	THE HUNT GOES ON
19610126	QUEEN's ELEPHANT RIDE
19610126	STOREMEN  IN MISSWG  DAKOTA
19610126	10 polio  cases  in  a week
19610126	TUC call to workers
19610126	LATEST
19610127	10,000 CHEER ABBAS
19610127	BIG HUNT FOR PLANE  MISSING WITH STORE MEN ABOARD
19610127	LATEST
19610128	SAY IT in MALAY!
19610128	Recognition main  topic at Tengku,  Abbas talks
19610128	King leaves for a visit home
19610128	Aphrodisiacs in chocolates?
19610128	TENGKU  TO VISIT  JURONG  INDUSTRY  SITE
19610128	LATEST  ISLAND WIDE SWOOP MANY HELD
19610129	PAY CUTS: GO VT'S OFFER
19610129	Penis gives King  rousing  home-coming
19610129	BLACK  FLU  KILLER
19610129	Honeymoon in Hong Kong
19610129	A bouquet for the Queen
19610129	KENNEDY GREETS TWO FREED BY RUSSIANS
19610129	LATEST
19610130	Golf trophy goes to the Tengku's team
19610130	Boeing jet crashes
19610130	NARROW WIN  FOR THE  MALA YANS IN VIG MATCH
19610130	ABBAS WANTS U.N. TO HOLD A  REFERENDUM TO 'END ALGERIAN WAR'
19610130	PLANTERS IN  KEDAH GIVE  $150 TO THE CHEER FUND,  NOW $35,000
19610130	700 fail in bid to flee China
19610130	LATEST
19610131	MERGER  'We'll put our  own house  in order first,'  says Tengku
19610131	Either Ong is  lying or I am lying: Lee
19610131	URGE: FREE ALGERIA
19610131	What it means to be a girl...
19610131	LATEST
19610201	THE ROAD to MERGER
19610201	MEMORIAL FOR  EMERGENCEY
19610201	PUBLIC WILL BE ASKED TO SUBSCRIBE
19610201	State  drive to  cheers of huge  crowd
19610201	Abbas in Ceylon
19610201	Pirates fire on Marine Dept. ship off Penang
19610201	1438613  wins that $375,000
19610202	1961 THE BIG LEAP 1965
19610202	MEET 'HAM'  THE SPACE  CHIMP
19610202	'NEPOTISM' INQUIRY ENDS HEARINGS
19610202	Thugs stab watchman
19610202	Linda gets 10 years for manslaughter
19610202	Last wicket  stand saves  Australia
19610202	—all out here
19610202	LATEST
19610203	PORT SPLIT by 1964
19610203	Negri Ruler looks fit after his US trip
19610203	MR. U.N.  SEEKS  A CONGO  MANDATE
19610203	Congo: Full  report on  the Malayan contingent
19610203	Old folk wait all  night for  ang pows
19610204	PROGRESS PLAN No. 2
19610204	CYCLIST TRIED TO KILL ME—BOY, 13
19610204	Exodus' riot
19610204	Tengku: A trip to  Bangkok  with  Serrano?
19610204	USAF  to fly  troops to  Congo
19610204	Train smash: 7 die, 67 hurt
19610204	LATEST
19610205	BE COURTEOUS, URGES PM
19610205	pay curs.- Govt's  COUNTEROFFER ($5 more) REJECTED
19610205	Busy day for the firemen
19610205	DAKOTA MISSING WITH 26 PEOPLE ABOARD
19610205	Order of Lenin
19610205	STOLEN:  49  BABY CROCS
19610205	Snowstorms in U.S.
19610205	Bid to murder boy: Man claims trial
19610206	PLAN 'A CHALLENGE'
19610206	Boy killed in collision
19610206	Two killed in crash
19610206	LEOPOLD,  PRINCESS  FLY IN
19610206	The open to Phillips
19610206	LATEST
19610207	ROAD to RAIL PEACE
19610207	Girl's four  hours of  terror
19610207	Nehru to open health talk
19610207	LEOPOLD AT ISTANA, THEN SOME GOLF
19610207	Silence on Sputnik
19610207	QUEEN  VISITS  THE  GATEWAY TO ASIA
19610207	Food for China
19610207	Special Branch hold 5
19610207	LATEST
19610208	'WE MUST NOT FAIL'
19610208	'Naval secrets filmed'
19610208	Zarbs are reunited
19610208	Landslide in W. Java
19610208	Frondizi visit
19610208	KENNEDY  ACCEPTS RESIGNATION OF ENVOY IN MALAYA
19610208	LATEST
19610209	GARCIA FLIES IN
19610209	GROOM-TO-BE FOUND  IN CEMETERY WITH HEAD SEVERED
19610209	350 miles for Black Knight
19610209	LATEST
19610210	PRAISE FROM GARCIA
19610210	Oei family  business is  seized
19610210	Tourist hotel burns down
19610210	WHAT MADE THE  'SNOWMAN' FOOT PRINTS?
19610210	Soccer $11,000 for Fund
19610210	That 'phone  calF: Inquiry  ordered
19610210	Plane down off S'pore
19610210	LATEST
19610211	FANTASTIC CASE OF BRYAN AND HIS SECRETS
19610211	Withdraw?  It would be  cowardly  act: Tengku
19610211	FLIGHT OF TROOPS PUT OFF -AGAIN
19610211	Highlands talks
19610211	5 killed  in  Johore crashes
19610211	LATEST
19610212	CARCIA and  WIFE LEAVE  for HOME
19610212	JACK. JACKIE REST
19610212	A Rahman-Garcia  plan for Asian peace
19610212	'CONCRETE  PROPOSAL'  FROM  THAILAND
19610212	Morocco visit ends
19610212	little Summit' draws up plan
19610212	HASSAN FOR MOSCOW
19610212	Pay rise for officers
19610212	Now it's P.O. Box 999
19610212	on social visit
19610212	LATEST
19610212	800 more troops for the Congo
19610212	TOWKAY  ABDUCTED  -REPORT
19610213	Road mishap
19610213	DEMONSTRATIONS IN  S. AFRICA 'AT START OF BIG TALKS'
19610213	Tan first Malayan Rhodes Scholar
19610213	Cracker  starts  theatre  fire
19610213	LATEST  BORDER DEATH
19610214	OFF AT LAST: SECOND  BATCH OF  REINFORCEMENTS
19610214	SELF-LOADING  RIFLES  FOR THE ARMY
19610214	Venus  rocket-a  direct hit  possible
19610214	Gun seized by police
19610214	S'pore 'bookie' army defeated
19610214	GO-AHEAD ON  ASAS:  IT WON'T BE POLITICAL
19610214	New commander
19610214	'We will oppose  S. Africa again'
19610214	LATEST
19610215	U.N. TROOPS ALERTED
19610215	Tengku:  Asian support  for U.N. now vital
19610215	The last-minute shopping rush to buy fruit for the New Year
19610216	REDS: DAG MUST GO
19610216	700 TO BOLSTER FORCE MAY LEAVE IN APRIL
19610216	Widespread rioting by  students over Lumumba death
19610216	Chairman of  BOAC  to visit  Malaya
19610216	71 killed  as  Boeing crashes
19610216	Missing soldier comes back
19610217	CONGO 'RIOT' in UN
19610217	Dag stands fast: 'I will not quit'
19610217	'BRITAIN  MUST  SHARE  BLAME'  UPROAR
19610217	32 'Ox' babies
19610217	BOMB BID ON GARCIA HOME
19610218	In Britain, Labour bid to censure Government
19610218	$1,000 MORE FOR THE  CONGO  CHEER FUND
19610218	The Tengku's London programme
19610218	'Go home'  notes  hurled at  Queen
19610218	LATEST
19610219	CONGO: TENGKU'S PLAN
19610219	Man hit by taxi AND bus dies
19610219	General Paget dies
19610219	'WEAR BLACK' ORDER FOR PROTEST MEET
19610219	MRS. LUMUMBA IN  STANLEYVILLE  LEOPOLDVILLE. Sat
19610220	SEA TRAGEDY: 13 DIE
19610220	Doctors' protest
19610220	Six killed in a head-on crash
19610220	THE WAY TO  UNITY IN THE CONGO— by U.N. TEAM
19610220	5-YEAR PLAN: $70mil. LOAN LAUNCHED
19610220	LATEST
19610221	LAOS: MALAYA READY
19610221	RAZAK HANDS OVER CHEQUE  Berita gift to Congo wives
19610221	2 die in clash
19610221	Soldier  seeks aid  to trace  mother
19610221	BELGIUM'S  ENVOY REPLIES TO THAT NOTE
19610221	Seaman  dies after  check on  ice chamber
19610221	LATEST
19610222	CONGO: 'ACTION' VOTE
19610222	1,000 gather to condemn the killing of Patrice Lumumba
19610222	Congo Cheer  Fund  closes, with  $67,000 in the kitty
19610222	Police seek  seven young  escapees
19610222	Man, 24, slain in gang battle
19610222	A FUND FOR  ALGERIA: GOVT. BID TO GIVE $10,000
19610222	Revolt call to China
19610222	LATEST
19610223	LUMUMBA-by Mr. LEE
19610223	4 people-and a dog-died in this car-bus smash
19610223	MALAYA WELCOMES  'USE FORCE' CONGO RESOLUTION
19610223	March 1 set for  debate on Ong report
19610223	Pent critical
19610223	Razak: Congo Fund thanks
19610223	Envoy says encourage  triple Alliance
19610224	A boycott  would lit  great pity  —Envoy
19610224	Private Pat flies off to her  sixth  wedding  date  (in rush)
19610224	Tshombe agrees to a truce
19610224	Visit protest —15 held
19610224	LATEST
19610225	BELGIAN 'ROAD BACK'
19610225	INVITATION  TO PAP  L-MURDER  RALLY
19610225	Spy ring in India
19610225	Students, traders back Algeria Fund
