Date	Headline
19810101	A GRIM 1981  SAYS LEE
19810101	Four who scored a 'first'
19810101	Stock market ends year on quiet note
19810101	Happy  New Year...
19810101	ISRAEL SACKS POLICE CHIEF
19810101	Those were GREAT days
19810101	Pinyin food names
19810101	Model for Chinese kings
19810102	WARNING OF DEARER FLATS
19810102	First 2 industry unions  this  month
19810102	JOBLESS BLIND STAGE DEMO
19810102	Bamboo Green
19810102	An Espionage Backfired
19810103	First day in school blues
19810103	Raja: We'll welcome new united front in Kampuchea
19810103	'200 shot dead' report denied by Syrians
19810103	Ex-Shell manager  gets 18 months
19810103	TV trailblazer speaks
19810104	LET EX-HIGH COURT JUDGES WORK...
19810104	The new face of justice...
19810104	Arab aid plan
19810104	Malaysia  Cup  special
19810104	HOLIDAY ROAD TOLL HITS 238
19810105	TIME IS NOT RIPE FOR TIES
19810105	'Bring back death penalty'
19810105	Oiled birds
19810105	MR WINSLOW
19810105	Suzuki to  propose  technology transfer  centres
19810105	Energy  saving:  Tax  relief  offer
19810105	Ministry studying move to increase bus fares
19810105	When speed counts...
19810105	Fun with Chinese Characters
19810105	What the postal service has to say
19810105	Chinese without tears
19810106	TOH NOT IN NEW CABINET
19810106	Village  attacked  as Thais  lodge  protest
19810106	Lean fined  $3,500  for taking bribes
19810106	Forged  MCs:  60 SBS  workers  sacked
19810106	Club bans use of starters' pistols
19810106	5 cts hike limit for your tea and coffee
19810106	Six hurt in crash
19810106	MANDARIN BY RADIO
19810106	Poems must express  the truth
19810106	Pinyin food names
19810107	SECOND-TIER PAY RISE  Above-average  in civil  service to get more than 3 per cent
19810107	NINE-POINT  RISE IN  ST INDEX
19810107	Educator recalls old days
19810107	Fun with Chinese Characters
19810107	Chinese without tears
19810108	THE NEED TO CHECK USSR
19810108	Bus pass price  may go up
19810108	16-POINT JUMP IN S.T. INDEX
19810108	Hijack victims can sue SIA in New York
19810108	Those flying ducks can fly again...
19810108	$50 m lost
19810108	LATEST  Reagan invites Taiwan leaders
19810108	Hope if  there's  unity and reforms
19810108	Chinese surnames  Admiral brings fame to clan
19810109	Marcos dumps tough speech...
19810109	PM backs call for Japanese military build-up
19810109	Bamboo Green
19810110	THE SECOND GOLDEN AGE
19810110	Suzuki to  continue pressure on Viets
19810110	Oil rig sold
19810110	Slowdown in W. Germany
19810110	Jobs  survey  on  grads
19810110	Be  grateful  your  children passed
19810110	LATEST  POLICE APPEAL TO RELATIVES
19810110	Unstoppable Ray
19810110	Pulau Sajahat: Forgotten outpost of the war
19810111	Three goals for a start
19810111	Lonely hearts, beware...
19810111	TURNING POINT FOR THE PAP
19810111	Munir: No more mee for me...
19810111	Angry Polish workers stay home in defiance
19810111	The line-up
19810111	We'll help maintain peace in Asean: Suzuki
19810111	'Military Japan no threat to Asean'
19810111	Latest  IRAQ CLAIMS VICTORY
19810112	DON'T FORGET THE BASICS:
19810112	The 200  women  who  gave up  their  Sunday...
19810112	Brilliant
19810112	Suharto  to  test  Japan's sincerity
19810112	Compulsory retraining for banned motorists?
19810112	11 HOMELESS IN FIRE
19810112	She loves Old  Maths
19810112	Forgotten grandeur
19810113	6,600 FACE JOB HOP QUIZ
19810113	Former Gov-Gen MacD dies in London
19810113	'Great loss'
19810113	Geared for the big day
19810113	Suzuki: Policy  changes on  Asean
19810113	MPs hit out at Kabul report
19810113	Index up 10 points
19810113	Arabs set to use S'pore as base for investment
19810113	MANDARIN BY RADIO
19810113	Close to the coolies' hearts
19810114	Focus on  economic  issues
19810114	Efforts to  free  hostages delayed
19810114	Greater protection for buyers
19810114	NUS all set to map out blueprint for the 80s
19810114	LATEST  HAIG OPPOSES U.S. PULLOUT
19810114	Moulding a  success  with his hands
19810114	Fun with Chinese Characters
19810114	Chinese  Without tears
19810115	MAS CHIEF RESIGNS
19810115	1653 go broke
19810115	Jockey: I was given $8,000 after win
19810115	Son Sann to form govt
19810115	Reagan  moves  in  favour of China
19810115	Slowdown  reflects  sluggish  world  economy  SAYS SUZUKI
19810115	It pays to take a good look
19810115	Loans with minimum fuss
19810115	Chinese surnames  Roots here, there, everywhere
19810116	Lee a  leader  I would  call on  for  advice:  Haig
19810116	152 YES'
19810116	GOVT GETS TOUGH WITH DEVELOPERS
19810116	Candidate
19810116	Japan will continue to extend aid
19810116	POLICE PROBE DEATH FALL
19810116	Bamboo Green
19810117	Contractor's  firm under  probe
19810117	Teng Cheong off to Jakarta meeting
19810117	QUOTE
19810117	From  The Police Files
19810117	Hussein going to US for heart surgery
19810117	Have bikes will travel: To China
19810117	Diary of a globetrotter
19810118	DK fight gets a royal boost
19810118	Marcos signs decree lifting martial law
19810118	SIA; Now Devan  to move in...
19810118	Manpower for computers
19810118	A wedding on two wheels, naturally
19810118	Mr Tang
19810118	Aiming at students who go for poetry
19810118	On creative effort and the need for discipline
